	patent_id	application_citation_id
561	8292541	2008/0193217
562	8251611	2006/0133897
563	8251611	2004/0047688
564	8251611	2004/0022973
565	8251611	2006/0280557
566	8251611	2007/0166106
567	8240956	2003/0116191
568	8240956	2004/0191000
569	8206058	2004/0128919
570	8034278	2002/0031641
571	8034278	2004/0222562
572	7955030	2002/0020658
573	7955030	2003/0095833
574	7955030	2006/0133897
575	7955030	2003/0143026
576	7832958	2008/0138153
577	7736096	2004/0052588
578	7722347	2002/0053390
579	7615148	2008/0169228
580	7615148	2007/0193129
581	7615148	2007/0181486
582	7530982	2003/0125811
583	7530982	2005/0228498
584	7530982	2003/0050708
585	7530982	2002/0040246
586	7530982	2003/0045934
587	7530982	2003/0130744
588	7484908	2004/0244444
589	7484908	2005/0196238
590	7451570	2002/0166291
591	7451570	2003/0145527
592	7320584	2002/0000518
593	7300229	2003/0085482
594	7056066	2004/0013475
595	7056066	2004/0013476
596	7056066	2002/0112428
597	7056066	2004/0013474
598	7025532	2002/0094238
599	7025539	2002/0112428
600	7025539	2003/0003828
601	7025539	2002/0054791
602	7025539	2004/0065034
603	8529153	2002/0114669
604	8529153	2004/0018055
605	8425155	2005/0260040
606	8240956	2003/0116191
607	8240956	2004/0191000
608	8034278	2002/0031641
609	8034278	2004/0222562
610	7736096	2004/0052588
611	7717644	2008/0075535
612	7615148	2008/0169228
613	7615148	2007/0193129
614	7615148	2007/0181486
615	7585410	2006/0283977
616	7300229	2003/0085482
617	7144196	2003/0094141
618	7056066	2004/0013475
619	7056066	2004/0013476
620	7056066	2002/0112428
621	7056066	2004/0013474
622	7025539	2002/0112428
623	7025539	2003/0003828
624	7025539	2002/0054791
625	7025539	2004/0065034
626	8568129	2001/0052654
627	8568129	2010/0007051
628	8568129	2003/0160347
629	8568129	2003/0006521
630	8523554	2009/0206522
631	8523554	2002/0079601
632	8523554	2005/0280185
633	8523554	2010/0247742
634	8523554	2006/0204603
635	8523554	2004/0118309
636	8523554	2011/0215117
637	8464482	2006/0201082
638	8464482	2007/0271868
639	8464482	2005/0257481
640	8464482	2004/0141814
641	8464482	2007/0056235
642	8464482	2004/0020155
643	8464482	2008/0256894
644	8464482	2001/0000370
645	8464482	2005/0086881
646	8425145	2010/0071804
647	8425145	2007/0116518
648	8425145	2005/0249872
649	8256988	2002/0132539
650	8256988	2004/0011881
651	8256988	2003/0190191
652	8256988	2003/0072615
653	8256988	2003/0022134
654	8256988	2004/0018055
655	8256988	2002/0114669
656	8218852	2004/0182492
657	8218852	2004/0151365
658	8218852	2003/0052890
659	8137537	2004/0035769
660	8070390	2006/0245832
661	8070390	2003/0085482
662	8070395	2002/0152696
663	8070395	2002/0044842
664	8070395	2007/0031192
665	8070395	2008/0015531
666	8070395	2003/0178194
667	8070395	2007/0292314
668	8070395	2007/0098500
