patent	ipc
1314	C02F
1315	C02F
1316	E02B
1317	C02F
1318	C02F
1319	B09B
1320	C02F
1321	B09C
1322	C01B
1323	E21B
1324	E02B
1325	G06Q
1326	C02F
1327	C02F
1328	B09B
1329	B01D
1330	C02F
1331	B09B
1332	C02F
1333	C02F
1334	C01B
1335	C02F
1336	E21B
1337	C02F
1338	A62D
1339	B09B
1340	C12N
1341	C02F
1342	C12P
1343	F25D
1344	C02F
1345	B09B
1346	C02F
1347	C02F
1348	E02D
1349	B09B
1350	C02F
1351	B09B
1352	B01D
1353	B09B
1354	C02F
1355	B09B
1356	G21F
1357	C10J
1358	C02F
1359	C02F
1360	B09B
1361	C02F
1362	C02F
1363	B01D
1364	C02F
1365	B09B
1366	A61L
1367	A61L
1368	C02F
1369	B09B
1370	B01D
1371	B01J
1372	C02F
1373	C02F
1374	C02F
1375	C10L
1376	C02F
1377	B65D
1378	B01D
1379	B09C
1380	B09B
1381	B09B
1382	E02B
1383	C02F
1384	B09C
1385	B09C
1386	E21B
1387	B01D
1388	A62D
1389	C02F
1390	C02F
1391	B09C
1392	E02D
1393	C02F
1394	F26B
1395	C02F
1396	B01J
1397	B09B
1398	B09B
1399	B09C
1400	B01D
1401	A62D
1402	C02F
1403	C05F
1404	B09B
1405	F23B
1406	C02F
1407	C02F
1408	A62D
1409	B01D
1410	A62D
1411	E02D
1412	A01N
1413	C25B
1414	E21B
1415	B09C
1416	C02F
1417	B09B
1418	C02F
1419	B01F
1420	C02F
1421	C02F
1422	A62D
1423	C02F
1424	G21F
1425	B09B
1426	B09B
1427	C02F
1428	B09B
1429	C02F
1430	C02F
1431	C02F
1432	C01B
1433	B01D
1434	G06F
1435	B09B
1436	B09B
1437	B09B
1438	B09B
1439	B09B
1440	C02F
1441	C08J
1442	F26B
1443	B09C
1444	C02F
1445	C22B
1446	B27N
1447	C01B
1448	C02F
1449	A62C
1450	B09C
1451	C12S
1452	C02F
1453	F26B
1454	C02F
1455	C22B
1456	C02F
1457	B09B
1458	C02F
1459	C02F
1460	A61L
1461	C02F
1462	B09C
1463	B01D
1464	B01D
1465	B09C
1466	B01D
1467	C02F
1468	B09B
1469	B09B
1470	B09B
1471	C22B
1472	C02F
1473	E02D
1474	C02F
1475	C25F
1476	E02B
1477	A62D
1478	C25F
1479	B09B
1480	C02F
1481	C07C
1482	A62C
1483	B32B
1484	C12M
1485	C02F
1486	E02D
1487	B09B
1488	C02F
1489	E02F
1490	E02F
1491	B01D
1492	B09B
1493	B01D
1494	B01D
1495	A01B
1496	E21B
1497	E21B
1498	C02F
1499	C02F
1500	B09B
1501	B01D
1502	A62D
1503	C02F
1504	C10G
1505	C04B
1506	C02F
1507	A62D
1508	G01V
1509	C22B
1510	C02F
1511	A62D
1512	C02F
1513	C02F
1514	E02B
1515	G06Q
1516	E02B
1517	E02D
1518	B67D
1519	E02B
1520	B63B
1521	E02B
1522	B63B
1523	B63B
1524	E02B
1525	E02B
1526	E02B
1527	G01S
1528	A01N
1529	E02B
1530	B63B
1531	E02B
1532	B65D
1533	E02B
1534	E02B
1535	E02B
1536	E02B
1537	G06Q
1538	E02B
1539	E02B
1540	E02B
1541	C04B
1542	C02F
1543	E02B
1544	E02B
1545	B63B
1546	E02B
1547	C02F
1548	E02B
1549	E02B
1550	B63B
1551	B63B
1552	B63G
1553	F23G
1554	C02F
1555	B32B
1556	A61K
1557	B63B
1558	E02D
1559	B09B
1560	C02F
1561	E02B
1562	E02B
1563	E02B
1564	B63B
1565	B63B
1566	E02B
1567	C02F
1568	E02B
1569	B65G
1570	B63B
1571	E02B
1572	B63B
1573	E02D
1574	C22F
1575	E02B
1576	E02B
1577	E02B
1578	E02B
1579	E02B
1580	C02F
1581	B02C
1582	E02D
1583	B63B
1584	E02B
1585	B65B
1586	B64F
1587	C02F
1588	B08B
1589	B08B
1590	B08B
1591	E02B
1592	C02F
1593	E02B
1594	C02F
1595	B63B
1596	E02B
1597	C02F
1598	B63B
1599	B66C
1600	C09K
1601	E04F
1602	E02B
1603	E03B
1604	B63B
1605	E02B
1606	E02B
1607	E02B
1608	B63B
1609	B63C
1610	B09B
1611	B09B
1612	B09B
1613	E02B
1614	E02D
1615	B63B
1616	B09B
