us_class	patent
405/128.75	288
210/613	289
210/180	289
210/188	289
209/012.1	290
209/039	290
209/040	290
210/725	291
210/727	291
210/912	291
210/913	291
210/602	292
210/170.1	292
210/170.3	292
210/532.1	292
210/151	292
205/688	293
205/701	293
205/703	293
205/746	293
205/749	293
204/252	293
204/259	293
204/262	293
204/263	293
204/266	293
210/747	294
114/312	294
114/337	294
210/170.1	294
901/002	294
901/027	294
210/738	295
210/803	295
210/205	295
210/532.1	295
210/533	295
166/303	296
166/267	296
426/576	296
203/003	297
203/001	297
203/024	297
203/034	297
203/040	297
203/087	297
203/027	298
202/177	298
202/180	298
159/047.3	299
159/017.3	299
210/143	300
210/205	300
210/609	301
210/705	301
210/739	301
210/740	301
210/741	301
210/742	301
210/743	301
210/744	301
210/746	301
210/087	301
210/088	301
210/205	302
210/257.2	302
210/299	302
210/416.3	302
204/278.5	303
204/294	303
204/661	303
204/666	303
205/688	303
205/758	303
210/500.23	304
210/500.42	304
427/244	304
052/293.3	305
052/741.3	306
052/232	306
052/309.17	306
052/745.19	306
210/652	307
210/650	307
210/743	307
210/747	307
210/748	307
210/749	307
210/754	307
210/702	308
210/202	308
210/903	308
210/605	309
210/251	309
210/609	309
210/603	310
210/609	310
210/702	311
210/709	311
210/758	311
210/721	311
210/205	311
210/096.1	311
210/257.1	311
210/220	311
210/259	311
210/748	311
210/753	311
210/151	312
210/748	313
204/280	313
435/262	314
435/292.1	314
210/717	315
210/716	315
210/195.1	316
210/788	316
210/804	316
210/512.1	316
210/259	316
210/513	316
210/512.2	316
210/703	316
210/805	316
405/129.95	317
405/036	317
405/302.7	317
210/170	317
210/747	317
209/003.1	318
209/155	318
209/724	318
210/716	319
210/207	319
210/723	319
210/724	319
516/138	319
241/024.1	320
241/184	320
210/195.1	321
210/197	321
210/199	321
210/202	321
210/203	321
210/241	321
175/066	321
210/119	322
210/123	322
210/124	322
210/195.3	322
210/197	322
210/220	322
210/532.2	322
210/540	322
210/724	323
252/175	323
210/906	323
210/741	324
210/109	324
210/110	324
210/770	324
210/771	324
404/076	325
052/019	326
210/770	327
588/261	327
510/370	328
210/167.01	329
201/041	330
202/208	330
588/256	331
210/605	332
210/612	332
210/175	332
210/603	332
210/614	332
588/256	333
588/250	334
210/602	335
210/603	335
210/610	335
210/612	335
210/259	335
210/903	335
210/906	335
210/748	336
210/760	336
210/770	336
210/175	336
210/202	336
261/122.1	337
261/124	337
261/DIG.70	337
405/128.75	338
210/695	339
210/705	339
210/711	339
210/713	339
210/714	339
210/725	339
210/727	339
210/912	339
210/913	339
210/914	339
210/699	340
210/696	340
210/698	340
252/181	340
422/015	340
422/019	340
210/724	341
588/321	342
422/188	342
210/620	343
210/724	344
210/738	344
034/060	345
034/443	345
210/605	346
588/318	347
106/668	348
106/669	348
106/671	348
106/697	348
588/257	348
405/129.95	349
052/514	350
210/620	351
210/632	351
210/209	351
405/128.25	352
405/128.2	352
428/402	353
428/406	353
065/017.6	353
065/020	353
065/022	353
210/175	354
210/251	354
210/257.2	354
210/773	355
241/020	355
241/015	355
422/001	355
241/038	355
405/237	356
405/243	356
405/242	356
405/233	356
210/202	357
210/252	357
210/532.1	357
210/610	357
405/128.15	358
405/128.1	358
134/042	359
210/761	360
210/765	360
210/605	361
405/129.85	362
405/129.1	363
405/129.1	364
588/256	365
210/748	366
210/192	366
210/259	366
588/303	366
588/405	366
204/554	366
204/660	366
405/129.9	367
210/758	367
210/617	368
210/694	368
210/670	368
210/678	368
210/748	368
210/265	368
210/275	368
210/800	369
210/532.1	369
210/921	369
210/748	370
210/723	371
210/209	371
405/267	372
405/302.6	373
128/205.12	374
210/609	375
210/623	375
210/617	375
210/631	375
405/302.7	376
210/617	377
210/150	377
210/321.67	378
210/321.68	378
210/321.69	378
210/636	378
210/650	378
210/500.23	378
210/321.75	378
210/323.2	378
210/321.8	378
210/321.84	378
210/321.89	378
210/637	379
210/650	379
210/652	379
210/321.66	379
210/170	379
210/747	379
210/257.2	379
210/258	379
166/267	379
166/357	379
588/256	380
588/413	380
588/256	381
210/601	382
210/173	382
210/603	382
210/920	382
156/308.4	383
156/071	383
052/169.7	383
405/258.1	384
210/617	385
210/747	385
210/150	385
210/151	385
210/170	385
210/532.2	385
204/252	386
204/242	386
204/263	386
405/237	387
405/232	387
405/233	387
210/609	388
210/615	388
210/616	388
210/617	388
210/631	388
405/128.7	389
241/021	390
241/073	390
422/021	391
219/678	391
588/256	392
210/609	393
210/610	393
210/617	393
210/623	393
210/631	393
210/631	394
405/258.1	395
405/271	395
405/269	395
210/620	396
210/625	396
210/629	396
210/150	396
210/220	396
106/772	397
210/640	398
210/747	398
210/242.1	398
210/760	399
210/769	399
210/205	399
210/257.1	399
060/645	400
060/648	400
060/655	400
060/670	400
429/013	400
429/017	400
429/026	400
220/004.07	401
210/109	402
210/418	402
210/087	402
210/435	402
210/712	403
175/066	403
210/724	403
210/738	403
210/747	403
210/804	403
210/806	403
210/724	404
405/258.1	405
405/285	406
405/272	406
210/695	407
210/222	407
210/804	407
435/286.5	408
435/297.2	408
435/298.1	408
588/312	409
588/412	409
210/631	410
210/650	410
210/259	410
588/256	411
210/087	412
210/091	412
210/094	412
210/138	412
210/449	412
210/722	413
210/219	413
210/220	413
588/256	414
210/195.1	415
210/202	415
210/220	415
588/252	416
588/256	416
588/260	416
210/739	417
210/757	417
210/758	417
