	patent_id	grant_citation_id
148	8551341	5932099
149	8551341	6761823
150	8551341	5972211
151	8551341	7018534
152	8551341	7419594
153	8551341	5653883
154	8551341	3776853
155	8551341	6030529
156	8551341	4956093
157	8551341	7329351
158	8551341	5650070
159	8551341	7329344
160	8551341	5649785
161	8535534	5173187
162	8535534	4017402
163	8529764	4906359
164	8529764	5344557
165	8529764	6676837
166	8529764	6348147
167	8529764	7736509
168	8529764	4230569
169	8529764	6344144
170	8529764	5478473
171	8529764	3523891
172	8523965	7455773
173	8523965	4969932
174	8523965	7811340
175	8523965	4622210
176	8523965	6960301
177	8523965	4415432
178	8523965	6746593
179	8523965	4969933
180	8523965	4379045
181	8523965	5711768
182	8523965	5443716
183	8523965	4350103
184	8523965	5501798
185	8523965	6016868
186	8523965	7731854
187	8523965	3969245
188	8486271	7314568
189	8486271	6241893
190	8486271	4190456
191	8486271	4362626
192	8486271	7148270
193	8486271	6929748
194	8454838	3317925
195	8454838	5039427
196	8454838	4952398
197	8454838	5106229
198	8454838	2314767
199	8454838	5842243
200	8454838	3406416
201	8454838	6149819
202	8454838	3540274
203	8454838	3660957
204	8454838	3641594
205	8454838	5172445
206	8454838	6317901
207	8454838	3419916
208	8454838	4304022
209	8454838	6444176
210	8454838	5346566
211	8454838	5985156
212	8454838	4254525
213	8454838	3844760
214	8454838	4581075
215	8454838	5337434
216	8454838	3695434
217	8454838	3412862
218	8454838	3950809
219	8454838	4100641
220	8454838	3748810
221	8454838	4640784
222	8454838	6280639
223	8454838	6303038
224	8454838	4880547
225	8454838	4692956
226	8454838	4254818
227	8454838	4767511
228	8454838	6419840
229	8454838	4889622
230	8454838	4338697
231	8454838	4343696
232	8454838	7252843
233	8454838	3788982
234	8454838	4948296
235	8454838	6228272
236	8454838	5398361
237	8454838	5802631
238	8454838	5143623
239	8454838	4129904
240	8454838	6284144
241	8454838	4849024
242	8454838	4835810
243	8454838	7862712
244	8454838	5245723
245	8454838	4176058
246	8454838	4776053
247	8454838	7820055
248	8454838	4119535
249	8454838	4263759
250	8454838	4090266
251	8454838	5108514
252	8454838	5454129
253	8454838	5028321
254	8454838	6539573
255	8454838	2646889
256	8454838	2923954
257	8454838	5107872
258	8454838	5293659
259	8454838	6409926
260	8454838	4402101
261	8454838	3470091
262	8454838	4752740
263	8454838	4519914
264	8454838	4652378
265	8454838	2071520
266	8454838	2141811
267	8454838	5662940
268	8454838	6017400
269	8435411	5284634
270	8435411	7067106
271	8435411	4496524
272	8435411	7914679
273	8435411	4275042
274	8435411	5385586
275	8435411	4280987
276	8435411	4559203
277	8435411	7192563
278	8435411	3180703
279	8435411	4578255
280	8435411	5849172
281	8435411	6293973
282	8435411	4036931
283	8435411	4902425
284	8435411	2710250
285	8435411	5229086
286	8430600	5439318
287	8430600	5599139
288	8430600	5056960
289	8430600	5276255
290	8430600	5948250
291	8430600	4930939
292	8430600	4555201
293	8430600	4287141
294	8430600	7029204
295	8430600	7314336
296	8430600	7097390
297	8414748	4925643
298	8414748	5380445
299	8414748	5707508
300	8414748	5516972
301	8414748	5952542
302	8414748	5911868
303	8414748	4874485
304	8414748	5810995
305	8414748	5968337
306	8414748	5855763
307	8414748	5756874
308	8414748	5261336
309	8414748	4013552
310	8414748	5919350
311	8414748	5047224
312	8414748	6402932
313	8414748	4069371
314	8414748	4752364
315	8414748	4967673
316	8414748	4749519
317	8382075	5132090
318	8382075	7459135
319	8382075	2981250
320	8382075	6383260
321	8382075	6547855
322	8382075	3840002
323	8382075	3539549
324	8382075	4518458
325	8382075	4440098
326	8382075	2979408
327	8382075	4863644
328	8382075	4285578
329	8382075	4336101
330	8382075	3638924
331	8382075	7144555
332	8382075	3405918
333	8382075	3713786
334	8382075	5636623
335	8382075	5656155
336	8382075	5238580
337	8382075	5552022
338	8382075	3215189
339	8382075	3762893
340	8382075	3060921
341	8382075	3838974
342	8382075	3211538
343	8382075	6149137
344	8382075	3251398
345	8382075	4913065
346	8382075	3743483
347	8382075	3323575
348	8382075	6616733
349	8382075	2867972
350	8382075	6719829
351	8382075	3782300
352	8382075	4060587
353	8382075	3284064
354	8382075	5378267
355	8382075	5076895
356	8382075	2651647
357	8382075	3947327
358	8382075	5934207
359	8382075	3304991
360	8382075	3925148
361	8382075	4270974
362	8382075	3898134
363	8382075	4013516
364	8382075	3756580
365	8382075	5030428
366	8382075	4608120
367	8382075	4276115
368	8382075	2790506
369	8382075	2911423
370	8382075	7402247
371	8382075	4648973
372	8382075	3950230
373	8382075	7572626
374	8382075	4230536
375	8382075	2911421
376	8382075	5336284
377	8382075	4300924
378	8382075	31185
379	8382075	3876490
380	8382075	7416177
381	8382075	3432399
382	8382075	4007094
383	8382075	7156985
384	8382075	7424999
385	8382075	2879838
386	8382075	4026682
387	8382075	5279646
388	8382075	6007055
389	8382075	7332010
390	8382075	3716458
391	8382075	5585005
392	8382075	2619421
393	8382075	3076715
394	8382075	2468455
395	8382075	3917508
396	8382075	2658735
397	8382075	5512085
398	8382075	5009511
399	8382075	2387818
400	8382075	5342482
401	8382075	3870585
402	8382075	6402816
403	8382075	4119538
404	8382075	7074339
405	8382075	3844748
406	8382075	7142298
407	8382075	8136797
408	8382075	4432914
409	8382075	3212235
410	8382075	6391100
411	8382075	7758819
412	8382075	7416172
413	8382075	4259185
414	8382075	5190670
415	8382075	5968352
416	8382075	6485548
417	8382075	5032230
418	8382075	3789902
419	8382075	2890166
420	8382075	7111673
421	8382075	6913671
422	8382075	7591309
423	8382075	4683062
424	8382075	6293277
425	8382075	3855079
426	8382075	3601374
427	8382075	5154898
428	8382075	5759233
429	8382075	5484471
430	8382985	7465394
431	8382985	5096579
432	8382985	7452469
433	8382985	3235234
434	8382985	7820048
435	8382985	7402248
436	8382985	6348147
437	8382985	7520980
438	8376657	5599139
439	8376657	4930939
440	8376657	5056960
441	8376657	5276255
442	8376657	5439318
443	8376657	7029204
444	8376657	4555201
445	8376657	4287141
446	8376657	7314336
447	8376657	7097390
448	8370067	5735352
449	8370067	5801967
450	8370067	5493494
451	8370067	6460006
452	8370067	6973821
453	8370067	5471391
454	8360689	7326004
455	8360689	7226246
