	0	1	2	3
178	('7165914', '4f0bd47c4e6965a48970c1f55bc0ad38')			
179	('7156580', '4f0bd47c4e6965a48970c1f55bc0ad38')			
180	('7114305', 'acc06aac4581cb38b7247c92320cf21a')			
181	('7056066', '208dae3075d841204bacbaa368c0c35d')			
182	('7025532', '2e568c4e92b76f8c9a5ed708750f4526')			
183	('7025539', 'd313b97ed5e4c0c9328c31d31e7a1d30')			
184				
185	('6755385', 'f8bd06071e0122bd1f8b7116ef1574dd')			
186	('6722818', '2e568c4e92b76f8c9a5ed708750f4526')			
187				
188	('6692186', '2e568c4e92b76f8c9a5ed708750f4526')			
189				
190	('6564520', 'c8834cb1552fd11aa1f1c05a2a15a8dd')			
191	('6565286', '121efff32e68dbf8c185119ed5af166a')			
192				
193				
194				
195				
196	('6394706', 'e145193defab6d1f7d66946e289a4acd')			
197	('6347909', '2bd90c03e8d879f0466382bf3f963128')			
198	('6338594', '5ffdb687a94b355bf1571d1e6059e5da')			
199	('4632792', '38fedb509fdc4fda80a3d7a128859c2c')			
200	('8529153', '7cab28de7dd024b7067820bce3179b6d')			
201	('8425155', '71f3e476efbbb9e67e44167485d878f2')			
202	('8240956', '9f411fa460c478a7e007dff869d550df')			
203	('8034278', '96be3c34b194409086c18c560e25fe02')			
204				
205				
206				
207				
208				
209				
210	('7188574', '121efff32e68dbf8c185119ed5af166a')			
211	('7144196', '87fe8b6d4b8a86d8777f508c1c558415')			
212	('7056066', '208dae3075d841204bacbaa368c0c35d')			
213	('7025539', 'd313b97ed5e4c0c9328c31d31e7a1d30')			
214				
215	('6913418', '9fd638a9cf81aebaf9a8fb794478e423')			
216				
217				
218	('6746177', 'f8b1d6fce54ed58db9100f01ace13497')			
219				
220				
221				
222	('6565286', '121efff32e68dbf8c185119ed5af166a')			
223				
224				
225				
226				
227	('6394706', 'e145193defab6d1f7d66946e289a4acd')			
228	('6347909', '2bd90c03e8d879f0466382bf3f963128')			
229	('6347911', 'cc6df3c421728d42b6706303b4929853')			
230				
231				
232	('6082931', 'cd564569baec9868358afea8ef9f3677')			
233				
234				
235	('6033155', 'e4d75d91fbcad5b9b4462a9f19f0df99')			
236	('5992060', 'bb5a5e4dfe875a7f9afe399a940d12c7')			
237				
238	('5899639', 'fb658a523b5743133e23f5ad0b772e96')			
239	('5873678', '2917ac5523a5a577bd19fcefa4054a5f')			
240	('5817259', 'd79d3c92b01084e88bebcf50632e0a9f')			
241	('5807028', '0e00c2c82d1b0504c06edb0ff102a6ad')			
242	('5743677', '03d4eb7df7bef8ec72e8bc03686e01e9')			
243	('5716166', '2917ac5523a5a577bd19fcefa4054a5f')			
244	('5628586', '2917ac5523a5a577bd19fcefa4054a5f')			
245				
246	('5620280', '1137e23244df0084180969beca457353')			
247	('5556230', '1137e23244df0084180969beca457353')			
248				
249	('5441362', '80936ad23fa87f9d8a07e42a0171ed71')			
250				
251	('5380131', '3e6bc6e6bf323f89d1b9de5780bfc45f')			
252				
253	('5354151', 'f0fb8c980f6f55946e9d0a729082ab14')			
254	('5288172', '85faf42483a1a438535aff88e904cfa9')			
255	('5224794', 'b22c3f48b3aa9f99309abc80b3c0d560')			
256				
257				
258	('5174681', 'b22c3f48b3aa9f99309abc80b3c0d560')			
259				
260	('5160219', '3a8d29b7dcde2e415cf009b6a4475e0c')			
261				
262	('5145287', 'e4d75d91fbcad5b9b4462a9f19f0df99')			
263				
264	('5095840', '29d5063b526aba1fd9ca16fe9c5d3ea8')			
265				
266	('5087154', '3e6bc6e6bf323f89d1b9de5780bfc45f')			
267				
268	('4968184', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
269				
270	('4934869', '4a6f984bd7d937dbaadcfdac4f8d65e4')			
271	('4920907', '8febc9d34e2be771176fa23fe168c8ff')			
272				
273	('4917543', '0c4f5cb33fa2ac1dd807a828934eafa9')			
274	('4902170', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
275	('4858693', '2aa2d44778df1a16fd9c191bef723cb6')			
276				
277	('4826356', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
278	('4776727', '0a5b973a2aa15e3297306b0f4725b2fa')			
279	('4740106', '63d1a9109476554e91186d2a84adbada')			
280	('4690588', 'ecf6b54f7ee8cef3453d1828d50224b4')			
281				
282				
283				
284	('4662791', '0c059c967e539c78bd65b3c818012fd0')			
285	('4661020', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
286				
287	('4604001', 'cdb04ca234c655b59ec2aaa14576df90')			
288	('4600338', 'bce12b5e929d80e6eeabcee856a5f127')	('4600338', '688936da7a58f44d636a7dbe5fbe2d8a')		
289				
290	('4552486', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
291	('4549580', 'c1ef0fcd704c0519069efcbaeb53a5ea')			
292	('4511288', 'cdb04ca234c655b59ec2aaa14576df90')			
293				
294	('4493591', '651b07ae98d8b8b5b6adab74bdfad764')			
295				
296	('4422803', 'cdb04ca234c655b59ec2aaa14576df90')			
297	('4294564', 'cdb04ca234c655b59ec2aaa14576df90')			
298	('4273068', 'cdb04ca234c655b59ec2aaa14576df90')			
299	('4234269', 'cdb04ca234c655b59ec2aaa14576df90')			
300	('4231312', 'cdb04ca234c655b59ec2aaa14576df90')			
301				
302	('4102144', 'cdb04ca234c655b59ec2aaa14576df90')			
303	('4084801', 'e6d3b97c9802543cedfbb2d68ff94c42')			
304	('4073145', 'c8951a551bc84da728ea26bb2ebb68c2')			
305	('4064700', '4ac07bf0b7a86004a558ee23a30857df')			
306	('4023374', '7e6a8a29a3c6371add979226c5074ac0')			
307	('4005672', 'c49bb869ee16c4ce875485e1bc629c3a')			
308	('3958647', 'c914d47eb3ef395147b93ab12549fe56')			
309	('8568129', 'c5fdf5a24661345864412e4c476b6907')			
310	('8523554', '56f5ec2187b0e1b871f95b7b4db900c3')			
311	('8469628', '665335ab9e0e2008ba4c322d6742b48c')			
312				
313	('8425145', 'f6664414b827fc434fc4053c48a9db8b')			
314	('8414748', '853d1541d57f5f4401ee317448206f38')			
315				
316	('8302463', '8bcad21587c15bb24754a3cfb249daf7')			
317	('8262971', 'ebb9e76234388ed2aea0a925816736d1')			
318				
319	('8218852', '5c2c9fbb522ba9b31cdec1e44d529116')			
320	('8137537', 'e150f9545edf04dab023286367199373')	('8137537', 'd16179fc1f9f3ac7bafc37ac21b10069')		
321	('8123434', '0877e2d6d37d2104f9f32806fc74649b')			
322	('8070390', '6e1cc5aa85164ddd1bb53ba193da7b41')			
323				
324				
325	('7987769', '4b2915e71303014696bc4397b3a680e1')			
326	('7955030', '1acc5e9fb0ec1475339348f19d265d90')			
327	('7957945', 'd218ead043480d637150063d24c53297')			
328	('7897047', '9d870d889e8dc79b2d0175c9ae85526f')			
329	('7882794', 'c7070498daa0a7696dec4a865a9b554d')			
330	('7874767', '87948b229b45f5b267411e4969542ed9')			
331	('7833400', '969a082d27355e9130ef42457ad15958')			
332				
333				
334	('7771187', 'ced82445be8aad6b41c30aeecd9470fe')			
335	('7748926', '665335ab9e0e2008ba4c322d6742b48c')			
336				
337				
338	('7647817', '8bcad21587c15bb24754a3cfb249daf7')			
339	('7645095', '9e28902b454feaff0a3a9cbcff4d9a05')			
340	('7645381', 'a422c35b15cb7e528660f8186ed4d3ad')			
341	('7635430', '3068e00f5bacb2b374a6aac3397c817c')			
342				
343	('7569182', '6b9d3679d54c00a1ef0e8b759c7322da')			
344	('7549232', 'd4ea3a581f043536988a85ad297d43e9')			
345	('7524466', '3baba93766f72c5d1d5fcd539f7d436b')			
346	('7500806', 'a5a98a9b76dff8c66af52025013eaf37')			
347				
348	('7377760', 'a2b7c34c06e4ec540d1fc099ee98ab0a')			
349				
350	('7374691', 'a0b0de631a2764bd81a08e086d5c1151')			
351	('7335298', 'a2901ab466ac909a45c64fe39bf70fe7')			
352	('7306405', '5714343624faf00d94ce66d02dbf6ec5')			
353				
354				
355	('7163354', '1d25494246afaab32c298713b4d5960b')			
356				
357	('7135142', 'dd2548430e984b3b418ac7f141d23d22')			
358	('7125393', 'd05dc22dcbaa3bc9c5f279fbf9d1e7e3')			
359	('7110266', '4c2e7ce3be95fc2b2afa743e524dcc68')			
360				
361	('7080480', 'ca137c1bc85cf9b5fe4a02211fbc59d0')			
362				
363				
364	('6986226', '0de7fe8aad2f11a33566142a13f1981a')			
365	('6961251', '4c2e7ce3be95fc2b2afa743e524dcc68')			
366				
367	('6951615', '35644ebd0fb418e8c96d8c32a80ca09d')			
368				
369	('6879935', 'a605362775dc3f1246c92ae94e793e6c')			
370	('6857928', 'e4a6992cc89a3d586854705dfd133edd')			
371	('6838001', '41a81b4016a56c0ad01a6b78ef5f52bd')			
372	('6791848', '4c2e7ce3be95fc2b2afa743e524dcc68')			
373	('6709560', '969a082d27355e9130ef42457ad15958')			
374				
375	('6641329', '4b186a041897184fe5171f0c18d4342a')			
376	('6612779', 'd35ba9dccdaf22fb80120f41f4ff6d63')			
377	('6592751', '960fd15a26fbbf3a03f58228ade203fc')			
378				
379	('6583992', '4c2e7ce3be95fc2b2afa743e524dcc68')			
380	('6575662', 'b9c92046b220ed3fbd687e0449e718dd')			
381	('6572576', 'cccd7c95a4de860e5ceb715f3dc6d06c')			
382				
383	('6462964', '4c2e7ce3be95fc2b2afa743e524dcc68')			
384				
385	('6428656', 'd2d81a8395e3d927e6f8d3a3ccba507f')			
386	('6364577', 'b524a2e5100fe1a2fb02025b2d46980f')			
387	('6309916', '13aae49a9b0f005c569ae0c1ddd749ed')			
388	('6307757', '4c2e7ce3be95fc2b2afa743e524dcc68')			
389	('6276870', '0877e2d6d37d2104f9f32806fc74649b')			
390				
391	('6258215', 'd7c093f1f5ba2ee75e9ebce06af48cb1')			
392	('6200488', '12a472d47dd0c86b622742f81e1b699c')			
393	('6053662', '698787adfecf5b55a84d377e620aabc9')			
394	('5980737', '48fb912415a61cb977a1787acba4d2ae')			
395	('8580122', '378ff9fb48556d3eec348ae0aff813eb')			
396	('8486262', '1199d992a4b03dcbe2e76b6f668d5960')			
397	('8440154', '433b6c8189b21781069637362ee938b9')			
398	('8414748', '853d1541d57f5f4401ee317448206f38')			
399				
400	('8382075', '98140e6fe6df87cb88e418a69732485f')			
401	('8202500', '433b6c8189b21781069637362ee938b9')			
402	('8100996', '9cbca8d9b20e25cf33c59727359db63c')			
403				
404	('7967989', '378ff9fb48556d3eec348ae0aff813eb')			
405	('7967990', '378ff9fb48556d3eec348ae0aff813eb')			
406	('7959376', '98140e6fe6df87cb88e418a69732485f')			
407				
408	('7837883', '106c6f9bfd06a4500e1b6bea45b51cca')			
409				
410	('7708892', '72c0da3e2176306c3478bf87cfa4cc00')			
411	('7704373', '0f4db82ed11ff4df873f3bf66fc8f242')			
412	('7662290', '05e5f25bfb3a513d96baf45929695978')			
413	('7645385', 'a652b36136bb19aab5516332fc501809')	('7645385', 'de6f09c2d889de841f7de8f5b55417c8')		
414	('7618547', '3781b862cf9766c59d914637d92eda80')			
415	('7537415', 'd0f43702bbf6dfb6968d28a83761d83b')			
416	('7527736', '64c549db443ce03ff666029b7398ea6e')			
417	('7517456', 'd2fbc733110718a242b93e9a395dd018')			
418	('7429329', '378ff9fb48556d3eec348ae0aff813eb')			
419	('7399141', '23df0414a8e19527b5e8e27c8637b297')			
420	('7360967', '918046df8eb639dcff759beddf87fad5')			
421	('7255514', '23df0414a8e19527b5e8e27c8637b297')			
422	('7249916', '3a44c01d09b45c5765f28c63b8f8794c')			
423	('7223362', '95cb2ae89cee88fab61c338b6a66e257')			
424				
425	('7198433', '468da58984f32ead5e04099c7722d5fe')			
426	('7156027', 'c575e93b23e60be33cfa8f1a40a7c916')			
427	('7157001', '2345128f5ad52f5fd64c8a9ae66c840e')			
428	('7069990', '801e13f4393eedbec3f5784930154efe')			
429	('6991593', '65794f71d76ce77e0f6356e20f28c0d7')			
430				
431	('6955796', '104436cf71f7c4b76e91e9158335a4c0')			
432	('6840712', '9b8ae4c78eb52006f34625b35e4575f1')			
433	('6833124', 'b9d9509c5ee918cdc34860753522a655')			
