	grant_citation_id	patent_id
257	5107872	8454838
258	5293659	8454838
259	6409926	8454838
260	4402101	8454838
261	3470091	8454838
262	4752740	8454838
263	4519914	8454838
264	4652378	8454838
265	2071520	8454838
266	2141811	8454838
267	5662940	8454838
268	6017400	8454838
269	5284634	8435411
270	7067106	8435411
271	4496524	8435411
272	7914679	8435411
273	4275042	8435411
274	5385586	8435411
275	4280987	8435411
276	4559203	8435411
277	7192563	8435411
278	3180703	8435411
279	4578255	8435411
280	5849172	8435411
281	6293973	8435411
282	4036931	8435411
283	4902425	8435411
284	2710250	8435411
285	5229086	8435411
286	5439318	8430600
287	5599139	8430600
288	5056960	8430600
289	5276255	8430600
290	5948250	8430600
291	4930939	8430600
292	4555201	8430600
293	4287141	8430600
294	7029204	8430600
295	7314336	8430600
296	7097390	8430600
297	4925643	8414748
298	5380445	8414748
299	5707508	8414748
300	5516972	8414748
301	5952542	8414748
302	5911868	8414748
303	4874485	8414748
304	5810995	8414748
305	5968337	8414748
306	5855763	8414748
307	5756874	8414748
308	5261336	8414748
309	4013552	8414748
310	5919350	8414748
311	5047224	8414748
312	6402932	8414748
313	4069371	8414748
314	4752364	8414748
315	4967673	8414748
316	4749519	8414748
317	5132090	8382075
318	7459135	8382075
319	2981250	8382075
320	6383260	8382075
321	6547855	8382075
322	3840002	8382075
323	3539549	8382075
324	4518458	8382075
325	4440098	8382075
326	2979408	8382075
327	4863644	8382075
328	4285578	8382075
329	4336101	8382075
330	3638924	8382075
331	7144555	8382075
332	3405918	8382075
333	3713786	8382075
334	5636623	8382075
335	5656155	8382075
336	5238580	8382075
337	5552022	8382075
338	3215189	8382075
339	3762893	8382075
340	3060921	8382075
341	3838974	8382075
342	3211538	8382075
343	6149137	8382075
344	3251398	8382075
345	4913065	8382075
346	3743483	8382075
347	3323575	8382075
348	6616733	8382075
349	2867972	8382075
350	6719829	8382075
351	3782300	8382075
352	4060587	8382075
353	3284064	8382075
354	5378267	8382075
355	5076895	8382075
356	2651647	8382075
357	3947327	8382075
358	5934207	8382075
359	3304991	8382075
360	3925148	8382075
361	4270974	8382075
362	3898134	8382075
363	4013516	8382075
364	3756580	8382075
365	5030428	8382075
366	4608120	8382075
367	4276115	8382075
368	2790506	8382075
369	2911423	8382075
370	7402247	8382075
371	4648973	8382075
372	3950230	8382075
373	7572626	8382075
374	4230536	8382075
375	2911421	8382075
376	5336284	8382075
377	4300924	8382075
378	31185	8382075
379	3876490	8382075
380	7416177	8382075
381	3432399	8382075
382	4007094	8382075
383	7156985	8382075
384	7424999	8382075
385	2879838	8382075
386	4026682	8382075
387	5279646	8382075
388	6007055	8382075
389	7332010	8382075
390	3716458	8382075
391	5585005	8382075
392	2619421	8382075
393	3076715	8382075
394	2468455	8382075
395	3917508	8382075
396	2658735	8382075
397	5512085	8382075
398	5009511	8382075
399	2387818	8382075
