	patent_id	inventor
311	130	Andrew Youngs
312	130	Terence C. Holland
313	131	David Michael Jones
314	131	Tommy Spikes
315	131	Chris Timpson
316	132	Raymond J. Roussy
317	133	Dale Marshall
318	134	William L. French, SR.
319	135	Achim Kopmeier
320	136	Ning Chong
321	136	Lan Wong
322	137	Ning CHONG
323	137	Lan WONG
324	138	James Tafoya
325	139	Bert ZAUDERER
326	140	Thomas J. Kryzak
327	141	Roy Geerts
328	141	Cornelis Gijsbertus Van Ginkel
329	141	Boen Ho O
330	141	Marianne Frederika Reedijk
331	141	Benno Middelhuis
332	142	John LEAN
333	142	Scott GRIFFIN
334	142	Matthew TAYLOR
335	143	Bernard F. Duesel, Jr.
336	143	Michael J. Rutsch
337	143	Craig Clerkin
338	144	Carlton Dudding
339	145	CARLTON DUDDING
340	146	Carlton Dudding
341	146	Carrie Pendleton
342	147	Christine Dhersin
343	148	Andrew Peter Musson
344	149	Stephen A. Maher
345	149	Kord J. Wissmann
346	150	David Ritchie VAN VLIET
347	150	Hector Alvarez-Vazquez
348	151	Joseph Phillip Ehrhardt
349	151	Miguel Gonzales
350	152	Thomas J. Kryzak
351	153	Steven Lee Burns
352	153	Derek D. Ingram
353	153	John D. Linnemann
354	153	Stanley E. Deeke
355	153	Jeffrey K. Tardrew
356	154	William L. French, SR.
357	154	Anton Bogdan Thel
358	155	Todd McGee
359	155	Mark Macdonell
360	155	David Scott Kosch
361	156	Marc-Antoine Pelletier
362	157	Elbert Alden Hale
363	157	James Paul Harshman
364	158	Michael Lee Fraim
365	159	Kashi Banerjee
366	159	Charles D. Blumenschein
367	159	John Charles Schrader
368	160	G. Robert Whiteman
369	161	Dennis Wambuguh
370	161	Russell R. Chianelli
371	162	William G. CONNER
372	162	Mohammed A. AL-HAJRI
373	162	Thomas E. SCHULTZ
374	162	Michael HOWDESHELL
375	162	Chad L. FELCH
376	162	Matthew PATTERSON
377	162	Samuel SHAFARIK
378	162	Curt COOLEY
379	163	Cecil A. Yandell
380	164	Roger W. Carson
381	164	Bruce W. Bremer
382	165	William G. CONNER
383	165	Osama I. Fageeha
384	165	Thomas E. Schultz
385	166	Chad Allen Randal
386	167	William G. CONNER
387	167	Thomas E. SCHULTZ
388	168	Frederick Wilkins
389	168	Evgeniya Freydina
390	168	Aytac Sezgi
391	168	Reshma Madhusudan
392	168	Anil D. Jha
393	169	Huagang Zhang
394	169	Lijun Mao
395	169	Paul Owen Kramer
396	169	Caidian Luo
397	169	Ryan Matthew Sullivan
398	169	John Andrew Joecken
399	169	Marko Suput
400	170	Brent R. Constantz
401	170	Andrew Youngs
402	170	Terence C. Holland
403	171	Maria de la Paz Elizalde Gonzalez
404	171	Martin Marino Davila Jimenez
405	171	Omar Ornelas Davila
406	172	Stephen A. Maher
407	172	Kord J. Wissmann
408	173	Julian Parry
409	174	Henry Justiniano
410	175	David Ritchie Van Vliet
411	175	Herbert Wallace Campbell
412	175	Stephen Barrie Chambers
413	176	Michael L. Strickland
414	177	Zvi Elgat
415	177	Alexander Levin
416	178	Michael John Bowman
417	179	Kashi Banerjee
418	179	Charles D. Blumenschein
419	179	John Charles Schrader
420	180	Zhanfeng Cui
421	181	Tony Walker
422	182	Jayant M. Dholakia
423	183	Josh Ince
424	183	Paul Winsor
425	184	Michael J. Behan
426	184	Mark T. Ungar
427	185	Geoffrey N. Ehrman
428	185	Michael S. Coulton
429	185	Nathan L. Randello
430	186	Hugues De Feraudy
431	186	Henri Seinera
432	187	ALEXANDER EKSTER
433	188	John Self
434	188	Robert A. Olexy
435	188	Steve Cochran
436	189	William Downs
437	189	Paul J. Williams
438	190	Joachim Bottcher
439	190	Haiko Pieplow
440	190	Alfons-Eduard Krieger
441	191	James P. Crocker
442	192	Theodore W. Meyers
443	193	Robert Whiteman
444	194	Brent R. Constantz
445	194	Andrew Youngs
446	195	Ove Blomkvist
447	196	Joachim Neubert
448	196	Karl Ferdinand Staab
449	197	John Leslie Burba
450	197	Richard Donald Witham
451	197	Edward Bayer McNew
452	198	J. Clair Batty
