patent	us_class
1195	422/028
1196	210/683
1197	210/639
1198	366/081
1199	053/453
1200	210/300
1201	405/129.25
1202	210/744
1203	363/021.1
1204	361/503
1205	405/052
1206	405/015
1207	422/022
1208	052/519
1209	405/063
1210	405/063
1211	210/652
1212	363/131
1213	521/082
1214	204/630
1215	052/514
1216	141/192
1217	404/025
1218	702/055
1219	405/016
1220	264/162
1221	106/724
1222	405/115
1223	405/270
1224	052/169.12
1225	128/200.14
1226	405/063
1227	052/900
1228	405/116
1229	062/285
1230	204/515
1231	210/090
1232	405/115
1233	119/219
1234	210/097
1235	428/198
1236	363/021.1
1237	405/080
1238	604/004.1
1239	405/016
1240	264/032
1241	060/645
1242	210/603
1243	052/020
1244	210/799
1245	405/015
1246	210/651
1247	363/037
1248	604/004.01
1249	249/061
1250	210/170
1251	210/620
1252	405/016
1253	156/045
1254	524/589
1255	361/302
1256	405/017
1257	422/128
1258	588/205
1259	062/124
1260	604/006.16
1261	363/021.1
1262	404/075
1263	210/652
1264	052/747.12
1265	114/065.A
1266	202/185.1
1267	604/004.01
1268	210/170
1269	210/656
1270	405/036
1271	363/021.01
1272	062/530
1273	405/228
1274	405/080
1275	405/129.5
1276	405/129.5
1277	062/285
1278	405/129.55
1279	373/060
1280	604/006.09
1281	438/127
1282	363/021.1
1283	405/017
1284	405/111
1285	052/101
1286	202/176
1287	210/758
1288	405/107
1289	210/104
1290	588/002
1291	502/406
1292	210/719
1293	165/104.28
1294	159/016.2
1295	210/192
1296	210/710
1297	210/747.4
1298	210/747.4
1299	423/210
1300	204/252
1301	210/747.4
1302	405/129.95
1303	210/637
1304	261/123
1305	165/104.13
1306	075/343
1307	210/738
1308	435/262
1309	423/210
1310	210/631
1311	405/128.25
1312	427/136
1313	048/197.R
1314	210/605
1315	210/705
1316	210/693
1317	210/605
1318	210/748.02
1319	405/129.95
1320	210/720
1321	405/128.45
1322	423/351
1323	166/369
1324	210/747.5
1325	705/500
1326	210/696
1327	210/709
1328	405/129.95
1329	095/158
1330	210/682
1331	405/129.95
1332	210/756
1333	210/666
1334	423/402
1335	405/129.2
1336	166/369
1337	210/721
1338	588/306
1339	405/129.95
1340	435/177
1341	210/102
1342	435/165
1343	062/064
1344	210/668
1345	405/129.95
1346	210/683
1347	205/742
1348	405/129.9
1349	588/252
1350	210/605
1351	405/129.9
1352	210/652
1353	405/129.15
1354	210/614
1355	435/262
1356	588/020
1357	048/127.7
1358	210/758
1359	210/138
1360	405/129.95
1361	210/607
1362	210/620
1363	210/652
1364	435/293.1
1365	588/412
1366	210/689
1367	422/028
1368	210/607
1369	405/129.1
1370	210/650
1371	210/684
1372	210/603
1373	210/607
1374	210/630
1375	044/311
1376	210/170.7
1377	405/129.57
1378	261/121.1
1379	405/128.75
1380	405/129.95
1381	422/030
1382	405/043
1383	210/652
1384	405/129.1
1385	405/129.1
1386	166/312
1387	210/741
1388	588/300
1389	210/719
1390	210/605
1391	405/128.75
1392	405/302.4
1393	210/170.01
1394	034/060
1395	210/708
1396	422/042
1397	405/128.75
1398	405/129.9
1399	405/128.15
1400	210/321.83
1401	588/318
1402	204/555
1403	435/262
1404	405/129.9
1405	110/341
1406	210/617
1407	210/733
1408	588/299
1409	210/637
1410	422/184.1
1411	405/302.4
1412	514/400
1413	204/252
1414	166/271
1415	405/128.7
1416	210/188
1417	405/129.95
1418	210/631
1419	366/241
1420	210/085
1421	210/762
1422	588/316
1423	210/724
1424	405/129.5
1425	405/129.2
1426	588/252
1427	210/170
1428	405/129.1
1429	205/637
1430	210/748
1431	210/646
1432	423/322
1433	210/532.2
1434	705/002
1435	405/129.1
1436	588/252
1437	588/252
1438	405/129.95
1439	405/129.95
1440	210/683
1441	521/025
1442	034/380
1443	405/128.8
1444	210/683
1445	423/055
1446	264/122
1447	423/322
1448	210/759
1449	169/046
1450	405/128.5
1451	435/262
1452	210/602
1453	034/443
1454	210/602
1455	423/080
1456	210/759
1457	405/129.2
1458	205/688
1459	210/603
1460	422/003
1461	210/175
1462	405/128.5
1463	210/739
1464	210/739
1465	405/128.5
1466	210/634
1467	210/610
1468	405/129.25
1469	405/129.95
1470	405/129.25
1471	423/055
1472	210/747
1473	405/258.1
1474	210/605
1475	205/688
1476	210/170
1477	588/236
1478	205/697
1479	405/129.1
1480	210/758
1481	585/240
1482	169/047
1483	442/035
1484	435/262
1485	210/766
1486	405/129.2
1487	405/129.95
