ipc	patent
B22D	699
C22C	699
E02B	700
E02B	701
A01K	701
C02F	702
H02P	703
F03D	703
E02D	703
E02B	703
B28B	704
E02D	705
E02B	706
E02D	707
E04C	708
E04B	708
E04C	708
B28B	708
B32B	709
B29C	709
B28B	709
E02B	710
E02D	711
E02B	712
B28B	713
B29C	713
C03C	714
B28B	714
H01M	714
E02B	715
B65D	716
E02B	717
C02F	717
B01D	717
D01D	718
E02B	719
E21B	719
B01D	720
E02B	720
B28B	721
F16J	722
B28B	722
E04C	723
E04C	723
E04F	723
B28B	723
E02D	724
E04C	724
E02B	725
E02D	726
A61B	727
A61F	727
B28B	727
B29C	727
B29C	727
B29C	727
A61F	727
B28B	728
B29C	728
E02D	729
E02B	730
E02B	731
E02D	732
B32B	733
B28B	733
E02B	734
B27N	735
C08K	735
B28B	735
E02D	736
H04N	737
H04N	737
E02D	738
E02B	739
E02D	740
B28B	741
E02B	742
E02D	743
E02D	744
B32B	745
B60R	745
B28B	745
E02D	746
E02D	746
E04H	747
B29C	748
E02D	749
E21B	750
B63B	751
E02D	751
E02D	752
E02D	752
B28B	753
E21B	754
E02B	755
E02B	756
E02D	757
E04B	758
E04G	758
B63B	759
B28B	760
E02B	761
E02B	762
E02B	762
E02D	763
E02D	763
E02D	763
E02D	764
B32B	765
B01D	766
E02F	767
B28B	768
E02B	769
E21D	769
F16L	769
E21B	770
B05C	771
E02B	772
E02B	773
E02D	773
E04H	774
B63B	775
E02B	776
E21D	776
F16L	776
B28B	777
E02B	778
E02B	779
E02D	779
E21C	780
E02D	780
E04G	781
E01F	782
E03F	782
E02B	782
E02B	783
E02D	783
E02B	784
E02B	784
E02D	785
E01D	786
E03F	786
E21B	787
E02B	788
E02D	788
E02B	789
E02B	789
E02B	790
E02D	790
C09K	790
B32B	791
G02B	792
E02D	793
B60R	793
G01B	794
B29C	794
E02B	795
E02B	795
E04B	796
E02B	797
E02B	798
E02B	798
E01D	798
E01D	798
B66C	799
E02B	800
E02D	800
G02B	801
E02B	802
E02B	803
E02B	803
E02B	804
E02D	805
B28B	806
E02B	807
B63B	807
E02B	807
B63B	807
B22D	808
E02B	809
E02D	810
E02D	811
E02D	812
B63B	813
E02D	813
B28B	814
E02B	815
E02B	815
B29D	816
B28B	816
B05D	816
B32B	817
B65D	817
A47G	817
B28B	817
B28B	817
D04B	817
D04B	817
D04B	817
B28B	818
B29C	818
B29C	818
B29C	818
C01D	819
E02B	819
E02B	819
E02B	820
E02B	821
E02B	822
E02D	823
B65D	823
E02B	824
C02F	825
E02D	826
B65B	827
F17D	827
B28B	828
B29C	828
E02B	829
A01K	829
H02P	830
F03D	830
E02D	830
E02B	830
E02B	831
E02D	832
E02B	833
E02B	834
E21B	834
B01D	835
E02B	835
E02B	836
E02B	837
E02D	838
E04C	838
E02D	839
C02F	840
E02B	841
C09K	842
C08K	842
E01B	842
E01B	842
E02D	842
E03B	843
E03B	843
E02D	844
E02B	845
E02D	846
E02D	846
E02D	847
B29C	848
E02D	849
B63B	850
E02D	850
E02D	851
E02D	851
E02B	852
A01K	852
B63B	853
E02B	854
E02D	855
E02D	855
E02D	855
E02D	856
E02B	857
E02B	858
E02B	859
E02B	860
E02D	860
B66C	861
B63B	862
E02B	863
E02D	863
E02B	864
E02B	865
E02D	865
E02D	866
E02B	867
E02D	867
G02B	868
E02B	869
E02B	869
E02B	870
E02D	870
E02B	871
E02B	872
E02B	872
E01D	872
E01D	872
B66C	873
E02B	874
E02B	875
E02D	875
G02B	876
E02B	877
E02B	877
E02B	878
E02D	879
B28B	880
E02B	881
B63B	881
E02B	881
B63B	881
E02D	882
E02D	883
B63B	884
E02D	884
A44B	885
E02D	885
E02D	885
B63B	886
E02D	887
E02D	887
E04C	887
F16C	887
E02D	888
E02D	888
E02D	888
E02B	889
E02B	890
E02D	891
E02D	891
E02D	892
E02B	893
E02B	894
E02D	895
E02D	895
B28B	896
B29B	896
E02B	897
E02B	898
F16L	899
E02D	900
E02B	901
E02B	902
E02B	903
E02D	904
E02B	905
E02B	906
E02D	907
E02D	907
E02B	908
E02D	909
E02D	909
F16L	910
E02B	911
E04C	912
E02D	912
E02B	913
F02B	914
E02B	915
E01C	915
E02D	916
E02D	917
E02D	918
E02D	918
E02B	919
E02B	919
B63B	920
E02B	921
E02B	921
E04C	921
E02D	922
E02D	922
E02B	923
E02B	924
E02D	924
E02D	925
B63B	925
E02B	926
B63B	927
E02B	928
E02D	929
E02D	929
E02B	930
E21B	931
E02B	931
E02B	932
E02B	933
F16K	933
E02B	934
E02B	935
C23F	935
E02D	936
B32B	937
E02B	937
E02D	938
E02B	939
E02B	939
B63B	940
E02B	940
E02D	941
E02D	942
B63B	943
B63C	943
E02B	943
E21B	943
E02B	944
E02B	945
E02D	945
E02D	946
E02D	946
E02D	947
E02B	947
E02B	948
E02B	949
B63B	950
E02B	951
E02R	952
E02D	953
E02D	953
E02B	954
F02D	955
E02B	956
E02B	957
E02B	957
E02B	958
B63B	958
F16F	959
B63B	959
E02B	959
E02B	960
E02B	961
E02D	961
E02D	962
B63B	963
E02B	963
E02D	964
E02B	965
F16K	966
F21V	967
E02B	968
B64C	968
F24J	968
B60P	968
A01G	968
E02B	968
B64C	968
E02B	969
B28B	970
E02B	971
B09B	972
B28B	973
E04B	974
B01D	975
B67D	975
B22C	976
C02F	977
E02B	977
E02D	978
E21B	978
E21B	978
C02F	979
C02F	979
E02B	980
E02D	981
E02D	982
E02D	983
E02B	984
E02D	984
E02D	985
B09B	985
C02F	986
C25B	986
C25B	986
B60P	987
E02B	988
B63B	988
E02B	989
E02B	990
C02F	991
B63G	992
B63G	992
E02B	993
E21B	993
G01N	994
B32B	994
E02B	995
E02B	995
C08J	996
B01D	996
G01M	997
B27N	998
B29C	998
H02K	998
B28B	998
B28B	998
H01F	998
H01F	998
E02B	999
C04B	1000
C04B	1000
E02D	1000
C04B	1000
E02B	1001
G06K	1002
G06K	1002
G06K	1002
B28B	1002
B29C	1002
B29C	1002
B29C	1002
G03F	1002
G01N	1002
C02F	1003
F26B	1003
C02F	1003
B02C	1003
C02F	1004
E02B	1004
C02F	1004
E02B	1005
C04B	1005
C04B	1005
C04B	1005
B01D	1006
C02F	1006
B01D	1007
B01D	1007
C30B	1008
B28B	1008
C03B	1008
E02B	1009
E02B	1010
E02B	1011
E21B	1012
E02B	1012
E02D	1013
E02D	1013
E02B	1014
E02D	1015
E02B	1016
C02F	1016
C02F	1016
C02F	1017
E02B	1018
E02B	1019
E02B	1019
C02F	1019
E02B	1019
B01D	1019
B01D	1019
C02F	1020
C02F	1020
E02B	1021
E02B	1022
B23P	1022
B28B	1023
E02D	1024
E02B	1025
E01F	1025
C02F	1026
C02F	1026
E02B	1027
E04G	1028
E04B	1028
E04B	1028
B01D	1029
C02F	1029
E02D	1030
B65G	1030
B23P	1030
E02B	1031
C02F	1032
F15D	1033
F16L	1033
G06Q	1034
F23K	1034
F23J	1034
F27D	1034
E21C	1034
A62D	1034
B01D	1034
E21B	1034
B65G	1034
E21B	1034
C02F	1034
E02B	1035
G06G	1036
G06G	1036
E04B	1037
E02D	1037
E04B	1037
E02D	1037
E02B	1038
E02D	1039
B44B	1040
B28B	1040
E01F	1041
C02F	1042
E04C	1043
C09K	1044
C04B	1044
C04B	1044
C04B	1044
E02D	1044
C09K	1044
B63G	1045
B63C	1045
E02B	1046
E01F	1046
B63G	1047
E02D	1048
B29C	1049
B29C	1049
C02F	1050
H01G	1051
B01D	1051
B28B	1052
C04B	1052
C08L	1052
E02B	1053
E02B	1054
B28B	1055
A46B	1055
A21C	1055
C12N	1056
C02F	1056
C12M	1056
C12M	1056
A01K	1056
E02D	1057
B28B	1058
B29C	1058
E02D	1059
B28B	1060
E04G	1061
B01D	1062
B01D	1062
C02F	1062
B67D	1063
B67D	1063
B65D	1063
B29C	1063
B23P	1064
B05D	1064
C09D	1064
F25D	1065
A62C	1065
A62B	1065
E02B	1065
B01D	1065
B01D	1065
C02F	1065
B01D	1065
B05B	1065
A62C	1065
E02D	1065
G06Q	1065
G01M	1066
E02B	1067
E02B	1068
B28B	1069
E21B	1070
B65G	1070
B28B	1071
B28B	1071
G01M	1072
F16L	1072
F16L	1072
E02D	1072
G01N	1072
G01N	1072
