ipc	patent
E02B	1142
A01G	1143
E02B	1144
A01G	1145
E01C	1146
A61L	1147
A01J	1148
A61L	1149
A61M	1150
C02F	1151
H02M	1152
E04B	1153
E02D	1154
G21F	1155
A01G	1156
C02F	1157
C25B	1158
E02B	1159
E02B	1160
E02D	1161
H05F	1162
C02F	1163
E02B	1164
C08J	1165
E02D	1166
C02F	1167
E02B	1168
E02D	1169
C02F	1170
E02D	1171
H02M	1172
C02F	1173
B28B	1174
C02F	1175
C02F	1176
E21D	1177
C02F	1178
E02B	1179
C02F	1180
E02B	1181
A01G	1182
B01J	1183
E02D	1184
B29C	1185
E02B	1186
B01D	1187
E21D	1188
G06F	1189
A61M	1190
A63H	1191
C08K	1192
B28B	1193
H02M	1194
A61L	1195
C02F	1196
B01D	1197
B29B	1198
B65B	1199
B03B	1200
B09C	1201
B01D	1202
H02M	1203
H01G	1204
E02B	1205
E02B	1206
A61N	1207
E04D	1208
E02B	1209
E02B	1210
B01D	1211
H02M	1212
C08J	1213
C25B	1214
E04G	1215
B65B	1216
E02D	1217
G01L	1218
G02B	1219
B28B	1220
C04B	1221
E02B	1222
B09B	1223
E02D	1224
A61M	1225
E02B	1226
E02D	1227
E02B	1228
F25D	1229
E02D	1230
B01D	1231
E02B	1232
A01K	1233
C02F	1234
B32B	1235
H02M	1236
E02B	1237
A61M	1238
E02B	1239
E04B	1240
F01K	1241
C02F	1242
E02D	1243
C02F	1244
E02B	1245
B01D	1246
H02M	1247
A61M	1248
F25C	1249
E02B	1250
C02F	1251
G02B	1252
B32B	1253
C08K	1254
H01G	1255
E02B	1256
B01D	1257
A62D	1258
C02F	1259
C02F	1260
H02M	1261
B01C	1262
B01D	1263
E02B	1264
E02B	1265
B01D	1266
A61M	1267
C02F	1268
B01D	1269
E03F	1270
H02M	1271
F25D	1272
E02D	1273
E02B	1274
B09B	1275
G21F	1276
F25D	1277
G21F	1278
F27D	1279
A61M	1280
H01L	1281
H02M	1282
E02B	1283
E02B	1284
A01K	1285
B01D	1286
C02F	1287
E02B	1288
C02F	1289
A62D	1290
B01J	1291
B01D	1292
C09K	1293
C02F	1294
C02F	1295
C02F	1296
C02F	1297
