patent	us_class
176	362/249
177	600/473
178	340/435
179	455/435.1
180	250/573
181	446/444
182	073/023.31
182	073/023.2
182	073/031.3
183	250/216
183	250/222.2
184	404/009
185	434/252
186	345/158
186	178/018.9
186	345/173
186	345/175
187	250/458.1
188	340/903
189	374/121
189	374/131
190	250/227.25
190	250/574
190	340/602
190	340/438
190	073/029.1
190	073/029.4
190	073/029.5
191	164/461
191	164/480
191	164/428
192	359/359
192	359/350
192	359/588
192	359/587
193	359/359
193	359/361
193	359/584
193	359/588
193	359/589
194	250/227.25
194	250/574
194	340/602
194	340/438
194	073/029.1
194	073/029.4
194	073/029.5
195	250/341.8
195	250/348
195	340/942
195	340/901
196	396/079
197	257/189
197	257/444
197	438/048
197	257/E31.64
198	362/494
198	362/545
199	250/208.1
200	219/121.85
200	219/121.64
201	257/184
201	257/186
201	257/449
201	257/461
201	257/E31.64
201	257/E31.67
201	257/E31.65
202	362/510
202	362/084
202	362/293
203	219/121.6
204	219/121.6
205	359/359
205	359/586
206	359/359
206	359/587
207	435/007.1
207	436/096
207	436/097
208	362/628
208	362/606
208	362/127
208	362/145
209	382/103
209	250/330
209	250/342
209	348/149
209	348/164
209	348/169
209	382/103
209	382/159
209	382/224
210	049/026
211	250/330
211	250/339.5
212	250/227.25
212	250/208.1
213	382/154
213	348/042
213	359/462
214	340/932.2
214	340/005.7
215	340/435
215	340/426.33
215	340/468
215	362/500
215	362/459
216	340/541
217	700/115
217	700/002
217	700/006
217	700/111
217	701/033
217	702/188
218	355/052
219	701/001
220	356/328
220	356/419
220	366/142
220	366/143
221	156/345.1
221	156/345.12
222	362/153.1
222	362/231
223	424/093.7
224	700/245
224	701/023
225	382/103
225	701/210
225	348/169
226	073/170.11
227	073/864.34
228	348/148
228	348/051
228	348/164
228	340/435
228	340/932.2
229	435/006
229	382/128
229	702/020
230	382/100
231	362/545
231	362/464
232	359/604
233	701/035
233	701/029
234	382/100
234	713/176
235	600/315
236	362/494
237	700/111
237	705/011
238	455/419
238	455/456.1
238	455/420
239	340/942
239	250/200
240	523/135
241	349/115
241	424/059
241	424/060
242	422/064
243	235/462.45
243	235/472.01
244	362/249
244	362/103
244	362/108
244	362/153.1
245	296/208
246	607/094
247	128/845
247	600/021
248	340/435
248	340/903
248	340/904
248	340/436
248	340/437
248	340/439
248	340/575
248	340/576
249	385/015
249	385/039
249	385/026
249	385/033
249	600/478
250	700/215
250	700/113
250	700/115
250	700/216
250	700/255
250	701/023
250	701/213
250	701/301
251	340/903
251	340/435
251	348/148
252	345/175
252	345/179
252	356/620
252	356/621
252	178/018.09
252	341/031
252	250/221
253	219/405
254	382/103
254	382/181
255	463/017
255	235/375
255	235/451
255	235/441
255	235/492
255	235/440
255	340/825.31
256	600/435
256	600/478
257	438/052
258	345/008
259	404/071
260	362/500
261	430/311
261	430/395
262	359/626
263	250/252.1
264	348/148
264	348/135
264	340/435
265	136/253
265	136/290
265	136/205
265	136/246
265	180/002.1
265	180/002.2
265	180/167
265	052/173.1
265	310/300
265	310/303
265	310/304
265	310/305
265	310/306
265	060/641.1
265	060/641.8
265	060/641.15
266	438/050
266	438/053
266	438/756
267	701/049
267	701/036
268	362/466
268	362/276
268	362/467
269	600/473
269	600/476
269	600/478
269	600/479
269	382/128
269	382/130
270	355/054
270	355/064
270	355/055
270	355/053
270	355/051
270	355/067
271	348/370
272	250/330
272	359/350
273	073/023.2
274	342/070
274	342/071
274	342/072
274	340/436
274	340/903
275	340/905
275	701/117
276	340/602
276	340/601
276	250/208.1
277	701/001
277	701/049
277	340/475
278	473/070
278	700/091
278	340/323.B
278	463/042
279	600/317
279	600/341
279	436/094
279	436/095
279	436/172
279	422/082.7
279	568/001
279	546/013
280	131/290
280	131/298
280	131/299
280	250/300
281	382/124
282	600/478
283	378/004
283	378/037
283	378/901
283	250/363.4
283	250/370.9
284	340/901
284	340/904
284	340/905
284	340/942
284	250/239
284	250/397
285	362/510
285	362/520
285	362/522
285	362/517
285	362/293
286	600/478
287	700/216
288	257/431
288	257/108
288	257/428
288	438/056
289	701/001
289	701/117
290	600/342
291	378/037
292	600/587
292	600/473
292	604/099.1
292	606/194
293	600/478
293	600/476
293	385/115
293	385/117
293	385/119
293	606/013
293	606/015
293	606/016
293	606/017
294	359/265
295	257/014
296	250/338.1
296	250/338.4
297	600/473
298	702/188
299	359/443
300	600/341
301	385/015
301	600/478
302	340/435
303	600/476
303	600/473
303	600/478
303	600/407
304	349/138
305	427/163.4
305	427/508
305	427/510
305	427/542
305	427/557
305	427/558
305	427/559
305	427/185
305	427/195
305	427/203
305	427/384
305	359/536
305	359/540
305	359/541
306	600/310
306	600/341
306	356/243.1
307	705/028
308	705/014
308	705/026
309	340/901
309	340/903
309	340/905
309	340/936
309	340/438
309	340/441
310	427/180
310	427/475
310	427/163.4
310	427/558
311	438/706
312	356/039
313	378/043
313	378/119
313	378/143
314	340/435
314	180/169
315	348/148
315	348/149
316	359/885
316	252/582
316	428/432
317	600/461
318	606/015
318	600/476
319	382/100
319	382/232
320	385/120
320	385/147
320	385/901
320	385/031
321	428/323
321	359/582
321	359/585
321	359/589
321	428/328
321	428/336
321	428/337
321	428/458
322	600/309
323	250/339.05
323	250/372
324	356/326
324	250/339.07
325	315/291
325	315/292
326	382/100
326	382/232
327	349/176
327	427/212
327	428/402
328	701/115
329	340/435
329	340/463
329	340/465
329	340/901
330	385/038
330	385/031
330	385/123
331	701/301
332	600/316
332	600/317
332	436/172
332	546/013
332	536/053
333	701/117
333	701/118
334	359/894
334	359/350
335	235/375
335	235/440
336	600/473
336	600/424
336	600/431
336	606/194
336	604/099.01
337	600/476
337	600/478
337	600/182
337	356/450
338	600/476
338	600/478
338	600/176
339	607/088
339	607/089
339	607/094
340	709/213
340	709/206
341	348/148
342	340/567
342	340/541
342	340/573.1
343	015/319
343	015/405
343	015/340.1
343	015/097.1
344	348/115
344	348/148
344	382/104
344	382/254
345	607/088
345	607/001
345	602/002
346	427/163.4
346	427/407.1
346	427/180
346	427/475
346	427/193
346	427/202
347	340/901
347	340/937
348	250/492.1
349	180/065.3
349	136/205
350	362/466
350	362/276
350	362/465
350	340/988
351	405/154.1
351	405/184
352	438/054
352	438/761
352	438/958
353	701/033
353	701/209
354	701/033
354	701/029
354	340/438
355	701/033
355	701/029
355	701/035
356	701/033
356	340/438
356	340/988
356	340/572
356	340/825.54
356	379/058
356	701/024
356	701/029
356	701/030
356	345/156
357	073/031.05
358	713/200
358	180/170
359	600/475
359	600/476
359	600/477
359	250/338.1
359	250/339.01
359	250/339.06
359	250/339.11
360	340/905
360	340/907
360	340/911
360	340/917
360	340/918
360	340/919
360	340/934
361	345/156
362	702/014
363	340/461
363	340/435
363	340/436
363	340/901
363	340/903
363	348/148
363	345/007
363	345/009
363	701/300
363	701/301
364	363/146
364	361/623
365	250/458.1
365	356/417
366	239/069
366	239/650
366	222/054
367	342/386
367	342/357.6
367	701/213
368	141/192
368	141/038
368	141/047
368	141/094
368	141/095
368	141/096
368	141/099
368	137/355.17
368	137/355.23
368	137/355.24
369	340/905
369	340/580
369	340/583
369	340/962
370	340/903
370	340/435
371	250/338.4
371	257/436
371	257/626
371	438/073
372	356/375
372	250/222
373	430/394
373	430/312
373	430/396
374	104/088.1
374	104/088.2
374	104/288
374	104/292
375	209/011
375	209/577
375	209/639
375	198/461.2
376	221/011
376	221/121
377	340/932.2
377	340/436
377	340/942
377	414/253
377	414/275
377	414/279
377	364/478.6
377	705/013
378	455/456
378	455/566
378	455/557
379	428/167
379	428/141
379	428/156
379	362/297
379	362/341
379	362/529
379	362/530
380	340/576
380	340/436
380	340/903
380	340/439
380	180/272
381	385/132
382	701/003
382	701/010
382	701/072
382	701/223
382	340/436
382	340/438
382	340/905
382	250/559.6
383	257/440
383	257/461
384	701/207
384	701/023
384	701/028
384	701/300
384	180/169
384	702/150
385	128/845
385	128/846
385	128/870
385	600/021
386	404/084.5
386	404/102
386	404/111
387	340/461
387	340/435
387	340/436
387	340/438
387	340/439
387	340/903
387	701/301
388	356/072
388	356/073
388	356/381
388	356/432
388	356/357
389	273/348.1
389	273/359
390	356/004.1
390	356/005.1
390	356/376
391	338/018
391	338/015
391	338/225
391	338/018
391	029/615
391	029/002
391	250/338.1
392	356/436
392	356/440
392	250/343
393	029/840
393	029/831
393	029/852
393	029/DIG.22
393	228/180.22
393	427/097
394	382/104
394	382/103
394	340/937
394	348/149
395	250/339.9
395	250/339.12
395	356/300
395	364/498
395	364/571.1
395	364/571.4
396	340/905
396	340/990
396	701/035
396	701/208
397	340/905
397	340/580
397	340/581
398	180/271
398	180/274
398	280/728.1
398	293/001
399	250/338.4
399	437/003
400	359/630
401	250/341.2
401	250/341.8
401	250/339.11
401	250/339.12
402	414/793.4
402	414/786
402	414/794
402	414/794.2
402	414/790.7
403	313/025
403	313/580
404	174/264
404	174/262
404	174/250
405	128/664
405	128/736
406	425/143
406	425/384
406	264/040.6
406	264/544
406	264/237
407	340/905
407	340/580
407	340/581
408	128/664
408	128/665
408	250/330
409	404/072
409	404/093
409	404/095
409	432/227
409	432/230
410	191/004
410	191/010
411	250/504.R
411	250/495.1
411	359/350
412	340/983
412	340/981
412	315/344
413	216/015
413	156/345
413	342/005
413	257/016
413	204/192.32
413	216/048
413	216/067
413	216/079
414	313/635
414	313/113
414	313/112
414	313/580
414	362/290
415	084/464.R
416	430/201
416	430/271.1
416	430/273.1
416	430/275.1
416	430/278.1
416	430/020
416	430/964
416	346/135.1
417	356/073
417	250/223.B
417	209/524
417	209/580
417	209/588
417	209/582
417	209/577
418	250/334
418	250/353
418	250/332
419	385/015
419	356/446
419	250/227.29
420	136/213
420	136/239
420	136/240
420	501/134
421	250/341.8
421	250/330
422	174/035.R
422	174/035.MS
422	428/333
423	428/336
423	315/359
423	346/076.R
423	428/332
423	428/210
423	428/446
423	428/701
424	385/012
424	385/031
424	385/033
424	385/034
424	385/076
424	385/115
424	385/116
424	385/119
424	385/139
425	404/084.5
425	404/094
426	348/166
426	348/295
427	356/004
427	342/029
428	073/023.2
428	073/031.2
428	073/031.3
429	250/343
429	250/341
430	404/072
430	404/094
430	156/560
431	359/884
431	359/589
431	359/723
431	372/099
432	364/426.4
432	364/461
432	364/561
432	180/170
432	340/903
432	356/004
433	156/643
433	156/667
433	204/298.36
434	315/151
434	315/119
434	315/159
434	250/239
435	156/600
435	156/625
436	422/186.5
436	118/725
436	118/730
436	437/233
436	437/243
436	437/925
436	437/963
436	427/248.1
437	250/330
437	244/003.16
437	356/364
437	356/369
438	340/933
438	180/167
438	340/905
438	364/436
439	359/359
439	250/488.1
439	359/589
440	501/136
440	501/134
441	428/017
441	156/061
441	156/063
441	428/919
442	357/030
442	357/016
442	357/004
443	246/169.A
443	250/342
443	340/682
443	340/600
443	340/584
444	250/211.J
444	357/030
445	250/352
445	250/304
445	250/341
445	356/038
446	422/248
446	422/106
446	422/109
446	156/601
446	156/616.1
446	156/616.4
446	156/DIG.71
446	156/DIG.72
446	156/DIG.77
446	156/DIG.92
447	250/341
447	250/339
447	250/343
448	250/342
448	250/353
449	350/409
449	350/001.7
449	350/413
449	350/417
450	250/330
450	250/338.1
451	318/483
451	318/444
451	318/DIG.2
452	250/341
452	250/342
452	356/318
453	350/001.1
453	350/370
453	350/162.17
453	350/162.2
453	350/320
453	350/395
454	250/548
454	226/002
454	250/461.1
454	250/561
455	340/567
455	250/338.3
455	250/342
456	350/001.6
456	350/166
457	313/112
457	313/111
457	313/558
457	313/560
458	374/009
458	219/201
458	250/342
458	364/557
458	374/121
459	357/030
459	357/015
459	357/055
459	357/060
459	357/067
459	357/032
460	250/343
460	350/432
460	250/338.1
461	351/210
461	351/209
461	351/158
462	250/336.2
462	250/338.4
462	250/349
462	250/370.15
463	350/354
463	350/363
463	350/381
463	350/390
464	250/343
465	332/007.51
465	350/354
465	350/312
466	280/764.1
466	049/068
466	049/142
466	049/356
466	052/118
466	182/063
466	212/187
466	248/179
466	248/183
466	280/006.1
466	358/108
467	340/905
467	340/943
468	358/100
468	358/107
469	358/142
469	358/146
469	358/147
469	358/093
469	273/DIG.28
469	364/513
470	062/514.R
470	250/352
471	330/004.3
471	372/035
472	366/108
472	350/006.7
473	364/498
473	250/307
473	356/388
473	356/448
474	250/504.R
474	250/493.1
474	250/252.1
475	428/156
475	052/309.1
476	372/075
476	372/108
476	372/039
476	372/027
476	372/022
476	372/021
476	372/013
476	372/012
477	250/349
477	250/341
477	250/356.1
477	250/564
478	350/370
478	350/001.1
478	350/320
478	350/395
479	219/388
479	219/400
479	099/386
479	099/443.C
479	432/008
479	432/209
480	523/135
480	524/178
480	524/181
480	524/394
480	524/529
480	252/587
481	110/193
481	110/163
481	110/185
481	110/215
481	110/216
481	110/250
481	110/304
481	110/346
482	089/041.7
482	089/041.17
483	356/135
483	356/128
483	350/619
484	250/343
484	250/252.1
484	250/339
484	356/437
485	313/477.R
485	313/478
486	250/352
486	062/514.IT
486	250/370
486	357/083
487	250/215
488	357/030
488	357/016
488	357/032
488	357/055
489	355/071
490	062/467
490	062/514.R
490	250/352
491	102/384
491	102/388
492	273/054.E
493	250/334
493	250/370
494	374/043
494	374/131
494	374/020
494	374/141
494	073/295
494	073/861.5
494	073/861.22
494	073/714
494	356/044
495	427/053.1
495	219/121.LJ
495	427/102
495	427/259
495	427/264
495	427/265
495	427/276
495	427/309
495	427/344
496	029/572
496	029/576.E
496	148/175
497	356/375
497	356/373
497	356/446
497	250/578
498	029/572
498	029/576.J
498	029/610.R
498	029/831
498	148/DIG.80
498	250/332
498	357/030
499	250/330
500	356/036
500	356/418
500	250/576
501	250/339
501	250/340
502	324/095
502	250/338
502	250/370
503	148/171
503	148/172
503	029/572
504	250/211.J
504	250/578
504	357/032
505	029/572
505	029/580
505	148/171
506	356/418
506	250/231.SE
506	250/339
506	350/315
507	204/015
507	204/038.B
507	250/338
508	029/572
508	029/576.E
508	148/001.5
508	357/030
508	357/071
509	356/036
509	250/576
510	273/142.B
510	273/138.A
511	209/564
511	209/580
511	209/582
511	209/587
511	250/341
511	356/072
511	356/418
512	340/052.R
512	250/222.R
512	250/561
512	340/032
513	357/015
513	357/030
513	357/071
514	156/630
514	156/643
514	156/655
514	029/572
514	029/580
514	204/192.E
514	250/332
514	148/001.5
515	156/064
515	156/378
515	250/341
516	235/468
516	035/048.B
516	235/455
517	252/416
517	252/411.R
517	252/419
517	252/421
517	252/445
518	110/346
518	110/250
518	110/257
519	126/425
519	353/003
519	126/438
520	029/577.R
520	029/580
520	029/584
521	361/273
521	252/063
521	252/063.7
521	252/066
521	361/323
522	126/271
522	126/270
522	165/168
523	260/878.R
523	260/823
523	260/877
523	260/879
523	260/880.R
523	260/884
523	260/886
523	260/887
523	260/888
523	260/889
523	260/890
523	260/892
523	260/896
523	260/897.A
523	260/899
523	260/900
524	029/577.C
524	029/578
524	029/580
524	250/370
524	357/024
525	357/024
525	250/370
525	357/030
525	357/080
526	250/370
526	250/338
526	250/211.R
527	250/341
527	250/339
527	250/349
527	356/118
528	250/338
528	356/051
529	240/011.2R
529	219/343
529	240/047
529	240/051.11R
530	345/007
530	345/008
530	345/207
531	382/199
532	702/003
532	356/600
533	348/118
533	382/104
533	348/E07.085
534	703/001
535	345/419
536	382/216
536	382/284
536	382/199
536	382/296
537	701/116
538	382/104
539	348/143
540	348/148
540	382/103
540	348/E07.085
541	382/100
541	382/124
541	701/523
542	382/165
542	382/162
542	382/274
543	348/222.1
543	382/162
544	600/407
545	348/148
546	701/031.4
546	701/031.6
546	701/517
546	701/029.1
546	340/576
546	340/937
547	340/539.13
547	340/540
548	348/148
548	340/932.2
549	382/103
550	382/104
551	726/006
551	726/004
551	726/021
551	726/027
551	726/028
551	715/781
551	715/803
551	434/314
552	382/209
552	382/154
552	701/468
552	701/450
553	701/001
554	705/013
555	382/104
556	356/601
557	382/104
557	382/100
558	348/148
558	348/149
558	348/143
558	348/142
558	382/194
558	382/199
558	382/221
559	348/148
559	348/E07.085
560	701/118
561	719/328
562	382/104
563	348/148
563	348/149
563	348/143
563	348/142
563	348/658
563	382/195
564	382/165
565	701/408
565	701/010
565	701/028
565	701/117
565	701/118
565	701/119
565	701/065
565	701/080
565	701/523
565	340/902
565	340/903
565	340/904
565	340/905
565	340/906
565	340/438
565	340/439
565	340/919
565	340/933
565	382/104
565	382/106
565	382/107
565	382/154
565	382/199
565	703/004
565	703/008
566	348/148
566	382/104
566	340/435
567	382/104
567	382/199
567	382/281
568	703/001
568	434/079
568	434/080
569	348/148
569	382/104
569	382/103
569	348/E07.085
570	701/116
571	701/411
571	540/988
572	701/036
573	382/128
574	701/461
574	382/104
575	340/539.1
575	340/539.13
575	340/425.5
575	340/525
575	340/531
575	340/540
575	340/572.1
575	705/006
575	705/013
575	235/384
576	340/540
576	702/002
577	704/275
577	706/011
577	345/592
577	345/629
577	345/443
577	704/E21.001
578	382/181
579	382/103
580	382/104
580	382/100
580	382/103
581	382/104
581	382/106
581	382/107
581	701/001
582	707/769
582	707/E17.014
583	382/199
584	340/988
584	348/148
584	382/104
584	348/E07.085
585	701/023
585	701/028
585	701/035
585	701/110
585	700/253
586	382/284
586	382/282
586	382/294
586	358/540
586	358/450
586	345/640
587	382/103
587	382/218
588	382/104
588	382/100
588	382/168
588	382/171
588	382/199
588	348/118
588	701/001
588	701/023
588	701/028
588	701/117
589	701/119
589	701/301
589	340/905
589	705/007
590	348/148
590	348/E07.085
591	345/419
592	705/013
592	235/380
592	705/400
592	705/418
593	382/104
593	348/113
593	348/114
593	348/115
593	348/116
593	348/117
593	340/907
593	340/908
593	340/909
593	340/910
593	340/911
594	703/002
595	382/104
595	382/103
595	382/107
595	382/181
595	701/096
596	707/920
597	340/901
598	404/071
599	701/205
599	701/208
599	701/211
599	340/995.17
599	340/995.22
599	702/188
600	455/414.3
600	704/260
600	709/203
601	382/104
601	342/357.25
602	725/075
602	715/764
602	715/716
603	707/769
603	707/E17.14
604	345/419
605	382/104
606	382/165
606	382/162
606	382/164
606	382/173
607	701/117
607	340/905
607	340/907
608	348/148
608	348/187
608	348/E17.2
608	348/E07.85
609	348/148
609	382/104
609	348/E07.85
610	701/208
610	382/104
610	707/102
610	707/104.1
611	703/001
612	701/033
612	701/001
612	706/046
613	382/103
614	382/104
614	701/001
615	703/001
615	434/079
615	434/080
616	340/425.5
616	348/148
616	348/E05.96
616	382/103
616	345/004
617	701/117
617	701/001
617	701/023
617	701/024
617	340/901
617	340/907
617	340/910
617	340/933
618	382/103
618	382/274
618	382/168
619	703/001
619	382/104
619	703/002
620	382/103
620	348/148
620	348/E07.85
621	701/201
621	382/104
621	340/995.1
621	345/633
622	348/135
622	382/190
622	348/148
622	348/E07.85
623	340/435
623	345/007
623	345/593
623	701/070
623	345/593
624	382/103
624	382/104
624	382/106
624	382/107
624	382/168
624	382/170
624	382/209
624	382/217
624	382/220
624	382/228
624	340/903
624	340/905
624	340/435
625	340/459
625	701/029
626	382/103
627	342/357.2
627	707/E17.5
627	707/E17.18
627	707/E17.108
628	382/103
628	382/100
628	382/232
628	382/268
628	382/154
628	382/145
628	701/001
628	701/213
628	701/200
628	701/207
629	600/414
629	382/131
630	382/128
630	382/154
630	382/285
630	345/419
630	356/012
630	348/042
631	382/104
631	382/190
631	348/118
632	701/201
632	345/173
632	707/E17.14
633	701/117
633	340/905
633	340/907
633	340/909
634	700/245
635	702/022
635	356/301
635	356/318
636	348/148
636	382/104
636	348/E07.85
637	701/207
637	701/200
638	705/009
639	701/201
639	715/810
639	709/227
640	382/104
640	382/190
640	701/028
640	348/118
641	348/119
641	345/589
641	348/E07.85
642	719/328
642	718/100
642	715/853
643	356/601
643	356/614
643	382/104
643	701/213
643	701/200
643	701/208
644	382/154
644	382/285
644	348/042
644	356/012
644	359/462
645	382/104
646	701/201
646	345/173
647	705/418
647	705/001
648	701/117
648	701/118
648	340/906
648	340/995.13
649	702/085
649	356/213
650	345/440
650	345/619
650	345/473
651	040/446
651	040/584
651	040/606.1
651	040/607.13
651	040/541
651	404/009
651	340/933
651	073/488
651	181/175
652	382/284
653	340/439
653	702/034
653	903/903
654	382/128
655	705/030
655	705/036.R
656	382/104
657	345/173
657	701/211
657	701/209
658	382/103
659	701/035
659	382/104
660	382/104
661	345/158
661	348/014.1
661	348/E07.77
662	705/010
663	250/205
663	250/208.1
664	340/425.5
664	382/181
665	382/104
666	382/191
667	382/103
668	705/001
669	436/512
669	422/068.1
669	427/243
669	422/055
669	382/128
670	701/001
671	382/104
671	382/103
671	382/106
671	382/190
