patent	us_class
571	701/411
572	701/036
573	382/128
574	701/461
575	340/539.1
576	340/540
577	704/275
578	382/181
579	382/103
580	382/104
581	382/104
582	707/769
583	382/199
584	340/988
585	701/023
586	382/284
587	382/103
588	382/104
589	701/119
590	348/148
591	345/419
592	705/013
593	382/104
594	703/002
595	382/104
596	707/920
597	340/901
598	404/071
599	701/205
600	455/414.3
601	382/104
602	725/075
603	707/769
604	345/419
605	382/104
606	382/165
607	701/117
608	348/148
609	348/148
610	701/208
611	703/001
612	701/033
613	382/103
614	382/104
615	703/001
616	340/425.5
617	701/117
618	382/103
619	703/001
620	382/103
621	701/201
622	348/135
623	340/435
624	382/103
625	340/459
626	382/103
627	342/357.2
628	382/103
629	600/414
630	382/128
631	382/104
632	701/201
633	701/117
634	700/245
635	702/022
636	348/148
637	701/207
638	705/009
639	701/201
640	382/104
641	348/119
642	719/328
643	356/601
644	382/154
645	382/104
646	701/201
647	705/418
648	701/117
649	702/085
650	345/440
651	040/446
652	382/284
653	340/439
654	382/128
655	705/030
656	382/104
657	345/173
658	382/103
659	701/035
660	382/104
661	345/158
662	705/010
663	250/205
664	340/425.5
665	382/104
666	382/191
667	382/103
668	705/001
669	436/512
670	701/001
671	382/104
672	382/204
673	701/117
674	382/175
675	382/104
676	348/148
677	382/182
678	705/001
679	348/142
680	702/182
681	705/038
682	356/602
683	707/104.1
684	382/310
685	382/299
686	382/130
687	382/104
688	382/103
689	382/170
690	345/440
691	382/104
692	382/104
693	345/440
694	701/001
695	382/104
696	706/002
697	701/001
698	705/014
699	382/101
700	703/001
701	382/104
702	340/435
703	382/204
704	701/117
705	382/141
706	382/101
707	362/466
708	701/016
709	345/958
710	705/001
711	701/001
712	701/036
713	382/191
714	382/104
715	382/154
716	250/458.1
717	345/419
718	702/182
719	362/526
720	382/104
721	382/202
722	701/001
723	382/104
724	345/617
725	356/073
726	382/104
727	707/006
728	701/001
729	701/055
730	345/418
731	702/130
732	382/154
733	348/234
734	345/698
735	345/440
736	250/208.1
737	701/001
738	382/104
739	382/100
740	382/103
741	382/104
742	382/104
743	362/464
744	307/010.1
745	435/006
746	707/104.1
747	362/551
748	382/104
749	382/104
750	705/001
751	701/001
752	701/213
753	382/152
754	345/428
755	382/104
756	382/104
757	382/232
758	348/115
759	382/104
760	701/211
761	382/104
762	703/002
763	340/903
764	382/104
765	707/009
766	382/104
767	701/117
768	382/104
769	382/103
770	180/170
771	348/149
772	348/187
773	073/146
774	244/003.17
775	358/504
776	382/154
777	395/109
778	382/104
779	395/126
780	382/276
781	358/463
782	348/135
783	340/937
784	382/022
785	382/001
786	364/449
787	364/424.2
788	358/298
789	382/016
790	348/143
791	715/804
792	348/143
793	250/330
794	348/164
795	434/036
796	307/116
797	600/476
798	348/143
799	348/148
800	702/135
801	345/173
802	348/148
803	348/149
804	701/036
805	340/006.1
806	340/937
807	348/148
808	439/056
809	434/037
810	348/335
811	257/082
812	250/330
813	324/072
814	250/338.4
815	348/159
816	348/148
817	602/004
818	244/003.19
819	348/166
820	250/340
821	250/330
822	250/338.4
823	345/173
824	348/148
825	715/764
826	040/542
827	359/894
828	042/111
829	250/340
830	362/276
831	250/228
832	340/006.1
833	250/252.1
834	250/330
835	250/330
836	702/135
837	042/146
838	348/164
839	362/641
840	033/286
841	250/330
842	455/575.3
843	250/330
844	315/246
845	257/021
846	250/330
847	250/221
848	102/387
849	062/003.7
850	250/338.4
851	250/330
852	250/330
853	250/332
854	042/120
855	250/205
856	362/205
857	362/183
858	250/341.1
859	396/427
860	250/228
861	250/301
862	340/463
863	250/330
864	340/901
865	073/170.27
866	340/575
867	250/330
868	382/104
869	701/020
870	348/155
871	250/330
872	359/634
873	250/504.R
874	340/686.6
875	340/686.6
876	250/330
877	250/341.1
878	250/227.25
879	600/534
880	340/435
881	427/255.33
882	250/227.25
883	246/001.C
884	250/228
885	250/330
886	348/152
887	725/112
888	315/056
889	250/227.25
890	250/332
891	042/111
892	348/164
893	348/148
894	250/330
895	250/214.VT
896	362/459
897	356/326
898	310/032
899	315/294
900	345/008
901	359/627
902	315/159
903	362/183
904	439/488
905	340/815.4
906	362/183
907	359/356
908	382/286
909	250/330
910	250/330
911	250/332
912	700/258
913	396/265
914	250/353
915	702/032
916	250/330
917	382/106
918	131/328
919	106/814
920	404/012
921	359/540
922	106/002
923	356/073
924	340/435
925	404/014
926	427/137
927	424/401
928	524/560
929	404/014
930	359/531
931	404/012
932	428/143
933	523/172
934	428/690
935	524/582
936	345/007
937	523/172
938	702/005
939	404/013
940	428/064.1
941	502/084
942	523/172
943	362/296.1
944	524/423
945	525/331.9
946	428/143
947	428/704
948	427/427
949	524/582
950	404/014
951	235/383
952	523/172
953	404/014
954	438/064
955	356/445
956	438/424
957	106/031.04
