ipc	patent
G01S	421
H05K	422
G01D	423
G02B	424
E01C	425
H04N	426
G01S	427
G01N	428
G01N	429
E01C	430
G02B	431
G01C	432
B23C	433
H05B	434
B44C	435
B01J	436
G02F	437
G08G	438
G02B	439
C04B	440
F41H	441
H01L	442
B61K	443
H01J	444
G01N	445
C30B	446
G01N	447
G08B	448
G02B	449
G02F	450
B60S	451
G01J	452
G02B	453
G01N	454
G08B	455
G02B	456
H01J	457
G01J	458
H01L	459
G01J	460
A61B	461
H01L	462
G02B	463
G01N	464
G02F	465
B60S	466
G08G	467
H04N	468
H04N	469
F25B	470
H01S	471
G01D	472
G06F	473
G01M	474
B32B	475
H01S	476
G01N	477
G02B	478
F27B	479
C08K	480
F23N	481
F41G	482
G01N	483
G01N	484
H01J	485
G01J	486
H01J	487
H01L	488
G03B	489
F25B	490
F42B	491
A63D	492
G01L	493
G01N	494
B05D	495
H01L	496
G01B	497
H01L	498
H01J	499
G01J	500
G01J	501
G01R	502
H01L	503
H01J	504
H01L	505
G01J	506
C25D	507
H01L	508
G01N	509
A63F	510
B07C	511
G05B	512
H01L	513
H01L	514
B32B	515
G06K	516
C01B	517
F23G	518
F24J	519
B01J	520
H01G	521
F24J	522
C08L	523
B01J	524
H01L	525
G01J	526
G01J	527
G01N	528
F21L	529
G09G	530
G06K	531
G01W	532
G06K	533
G06F	534
G06T	535
G06K	536
G06F	537
G06K	538
H04N	539
G06K	540
G06K	541
G06K	542
H04N	543
A61B	544
H04N	545
G06F	546
G08B	547
H04N	548
G06K	549
G06K	550
G06F	551
G06K	552
G06F	553
G06Q	554
G06K	555
G01B	556
G06Q	557
H04N	558
H04N	559
G06G	560
G06F	561
G06K	562
G06K	563
G06K	564
G01C	565
H04N	566
G06K	567
G06F	568
G06K	569
G08G	570
G06G	571
G06F	572
G06K	573
G06K	574
G08B	575
G08B	576
G09G	577
G06K	578
G06K	579
G06K	580
G06K	581
G06F	582
G06K	583
G08G	584
G01C	585
G06K	586
G06K	587
G06K	588
G08G	589
H04N	590
G06T	591
G07B	592
G06K	593
G06F	594
G06K	595
G06F	596
G08G	597
E01F	598
G01C	599
H04W	600
G06K	601
H04N	602
G06F	603
G06T	604
G06K	605
G06K	606
G06G	607
H04N	608
G06K	609
G06K	610
G06F	611
G06F	612
G06K	613
G05D	614
G06F	615
B60Q	616
G06G	617
G06K	618
G06F	619
G06K	620
G01C	621
H04N	622
B60Q	623
G06K	624
B60Q	625
G06K	626
G01S	627
G06K	628
A61B	629
G06K	630
G06K	631
G01C	632
G06G	633
G06F	634
G01J	635
H04N	636
G01C	637
G06Q	638
G01C	639
G06K	640
H04N	641
G06F	642
G01B	643
G06K	644
G06K	645
G01C	646
G06Q	647
G06F	648
G01J	649
G09G	650
G09F	651
G06K	652
B60Q	653
A61B	654
G06Q	655
G06K	656
G01C	657
G06K	658
G06K	659
G06K	660
G06F	661
G06F	662
G01J	663
B60Q	664
G06K	665
G06K	666
G06K	667
G06Q	668
G01N	669
G06F	670
G06K	671
G06K	672
G06G	673
G06K	674
G06K	675
H04N	676
G06K	677
G06Q	678
H04N	679
G06F	680
G06Q	681
G01B	682
G06F	683
G06K	684
G06K	685
G06K	686
G06K	687
G06K	688
G06K	689
G06T	690
G06K	691
G06K	692
G06T	693
G05D	694
G06K	695
G06F	696
G05D	697
G06Q	698
G06K	699
G06F	700
G06K	701
B60Q	702
G06K	703
G08G	704
G06K	705
G06K	706
G05F	707
G06F	708
G06T	709
G06F	710
G06F	711
G06F	712
G06K	713
G06K	714
G06K	715
G01N	716
G06T	717
G21C	718
B60Q	719
G06K	720
G06K	721
G06K	722
G06K	723
G09G	724
G01J	725
G06K	726
G06F	727
G01S	728
G06F	729
G06T	730
G01K	731
G06K	732
H04N	733
G09G	734
G06T	735
H01L	736
B60Q	737
G06K	738
G06K	739
G06K	740
G06K	741
G06K	742
B60Q	743
B60L	744
C12Q	745
G06F	746
F21V	747
G06K	748
G06K	749
G06F	750
G06F	751
G06F	752
G06K	753
G06T	754
G06K	755
G06K	756
G06K	757
H04N	758
G06K	759
G06F	760
G06K	761
G06F	762
G08G	763
G06K	764
G06F	765
G06K	766
G08G	767
G06K	768
G06K	769
B60K	770
H04N	771
H04N	772
E01C	773
F41G	774
H04N	775
G06K	776
G06K	777
G06K	778
G06T	779
G06K	780
H04N	781
H04N	782
G08G	783
G06K	784
G06K	785
G06F	786
G06F	787
H04N	788
G06K	789
H04N	790
G06F	791
H04N	792
G02F	793
H04N	794
G09B	795
H05B	796
A61B	797
H04N	798
H04N	799
G01K	800
G06F	801
H04N	802
H04N	803
B60Q	804
G08B	805
G08G	806
H04N	807
H01R	808
G09B	809
H04N	810
H01L	811
G02F	812
H01L	813
G01J	814
H04N	815
H04N	816
A61F	817
F41G	818
H04N	819
G01J	820
H01L	821
G01J	822
G06F	823
H04N	824
G06F	825
G09F	826
G02B	827
F41G	828
G01J	829
F21V	830
G01J	831
G08B	832
G01N	833
H01L	834
H01L	835
G01J	836
F41G	837
H04N	838
H01R	839
G01B	840
G21F	841
H04M	842
G02F	843
H05B	844
H01L	845
H01L	846
G06M	847
F42B	848
F25B	849
G01T	850
H01L	851
G02B	852
H01L	853
F41G	854
G01J	855
F21L	856
F21L	857
G01C	858
G03B	859
F21V	860
G01N	861
B60Q	862
G02F	863
G08G	864
G01W	865
G08B	866
H01L	867
G06K	868
G06F	869
H04N	870
G02F	871
G02B	872
G08B	873
G08B	874
G08B	875
G01J	876
G01J	877
G02B	878
A61B	879
B60Q	880
H01L	881
G02B	882
B61L	883
G01J	884
H01L	885
H04N	886
H04N	887
H01J	888
G02B	889
H01L	890
F41G	891
H04N	892
H04N	893
H01L	894
H01L	895
F21V	896
G01J	897
H01F	898
G05F	899
G09G	900
G02B	901
H05B	902
F21V	903
H01R	904
G08B	905
F21V	906
G02B	907
G06K	908
G01J	909
G01J	910
H01L	911
G06F	912
G03B	913
G01J	914
G06F	915
H01L	916
G06K	917
A24F	918
C04B	919
E01F	920
G02B	921
C04B	922
G01N	923
G08B	924
E01F	925
B05D	926
C09K	927
C09D	928
E01F	929
G02B	930
E01F	931
B32B	932
F21V	933
C09K	934
C08L	935
G09G	936
F21V	937
G06F	938
E01F	939
B32B	940
B01J	941
F21V	942
F21V	943
C08L	944
C08C	945
E01F	946
B32B	947
B05D	948
C08L	949
E01F	950
G06K	951
C08F	952
E01F	953
H01L	954
G01N	955
H01L	956
C09D	957
F21V	958
B05D	959
G03C	960
E01F	961
G08G	962
E01F	963
H01L	964
C08L	965
E01F	966
H01L	967
G06K	968
G02B	969
B05D	970
G08B	971
C08K	972
G01N	973
B05B	974
G03C	975
E01F	976
C08F	977
E01F	978
B29D	979
C08L	980
C08F	981
H01L	982
G08B	983
B05D	984
B05D	985
F21V	986
B05D	987
E01C	988
G02F	989
C08K	990
B32B	991
G09F	992
G03B	993
B32B	994
C08F	995
B05D	996
B05C	997
B32B	998
B32B	999
E01C	1000
F41H	1001
E01H	1002
E01H	1003
E01C	1004
E01C	1005
F21S	1006
B65G	1007
F21L	1008
A01C	1009
E01F	1010
E01F	1011
E01F	1012
E01C	1013
E01F	1014
E01H	1015
E01H	1016
E01H	1017
B32B	1018
C03C	1019
H05B	1020
G08B	1021
E04H	1022
B60Q	1023
E01F	1024
E01F	1025
E01F	1026
E01F	1027
E01F	1028
C04B	1029
E01F	1030
F16M	1031
E01F	1032
E01H	1033
F21S	1034
G09F	1035
E01H	1036
E21C	1037
G01B	1038
G05D	1039
B60Q	1040
E01D	1041
E01C	1042
E01C	1043
G09F	1044
B24B	1045
G06K	1046
B65G	1047
G08G	1048
E04B	1049
E01C	1050
E01H	1051
E01F	1052
F21S	1053
E01F	1054
E01C	1055
E01C	1056
E01F	1057
F21V	1058
G06K	1059
E01D	1060
E01C	1061
G05D	1062
E01C	1063
E01D	1064
E01C	1065
E01D	1066
E04B	1067
E01C	1068
B65G	1069
E01D	1070
E01C	1071
E01F	1072
H02J	1073
E01F	1074
G06F	1075
G09F	1076
E01C	1077
G08B	1078
E01F	1079
E01F	1080
E01B	1081
G08G	1082
E01B	1083
F21V	1084
A01N	1085
E01D	1086
E01H	1087
E01F	1088
E01D	1089
E01C	1090
A45B	1091
E01F	1092
G06K	1093
E01C	1094
E01F	1095
E01F	1096
G09F	1097
G08G	1098
E01D	1099
E01B	1100
G08G	1101
E01C	1102
G06F	1103
A61B	1104
E01F	1105
E01F	1106
F21V	1107
A45B	1108
G08B	1109
B32B	1110
G02B	1111
E01C	1112
F21V	1113
E01C	1114
G08G	1115
G01B	1116
B05B	1117
E01F	1118
F21V	1119
F21V	1120
A41G	1121
F21S	1122
E01D	1123
H01L	1124
G05D	1125
G01J	1126
E01D	1127
E01F	1128
E01F	1129
E01C	1130
E02F	1131
G08G	1132
B28B	1133
E01D	1134
F21V	1135
F21V	1136
G01D	1137
E01B	1138
A01C	1139
G06F	1140
G01C	1141
G06F	1142
E01F	1143
E01C	1144
E01F	1145
E01B	1146
B32B	1147
G06K	1148
G08G	1149
F21V	1150
H05B	1151
E01H	1152
F21V	1153
E07B	1154
G01B	1155
E01C	1156
E01B	1157
G08B	1158
E01F	1159
F21V	1160
E01F	1161
G07B	1162
E01B	1163
B44F	1164
F21V	1165
G08B	1166
H05B	1167
F21S	1168
F21V	1169
G08G	1170
B62J	1171
F21V	1172
H05B	1173
A63F	1174
H05B	1175
F21V	1176
E01F	1177
G06F	1178
H04N	1179
F21S	1180
B62J	1181
H04N	1182
F21S	1183
F21V	1184
H05K	1185
G02B	1186
G06F	1187
E01F	1188
A63F	1189
B60Q	1190
F21V	1191
F21V	1192
B60Q	1193
F21V	1194
B05B	1195
B62J	1196
G02B	1197
B60Q	1198
F21V	1199
G02B	1200
G08G	1201
F21S	1202
F21V	1203
B60Q	1204
B60Q	1205
B05B	1206
F21V	1207
B60Q	1208
G01C	1209
G02B	1210
F21V	1211
G02B	1212
G08B	1213
F21V	1214
B60Q	1215
G08B	1216
F21V	1217
G09F	1218
B60Q	1219
G02B	1220
G02B	1221
G02F	1222
F21V	1223
F21V	1224
G01B	1225
G08B	1226
E01C	1227
E01C	1228
G08G	1229
F21V	1230
G08G	1231
G02B	1232
G02B	1233
F21V	1234
E01F	1235
